,Actual,Predict
8204,444.45,443.85254325316174
9892,512.54,504.5272746947004
6389,563.49,529.2574828281121
2069,355.15,358.70633084777984
3954,394.65,399.8564143999787
8069,421.59,417.5100527441887
7949,398.15,473.1418717004609
8630,497.65,494.38126548907564
9182,421.2,425.31161180332043
7465,491.33,463.0063225101087
3437,317.15,565.6291088482908
3045,610.15,554.3971345808677
11187,543.02,529.299890015681
4075,428.16,404.79940935492385
11814,472.15,463.3008815158238
12421,584.2,591.8961577732068
9942,516.47,499.4198500771934
11378,601.68,583.314586693209
3708,518.08,480.672714982761
7038,438.88,439.84558634211976
3464,346.15,336.92339783001233
4023,413.15,421.19746941316725
9948,516.81,489.1701479841529
4526,377.15,384.0970206236869
8330,462.86,450.16838874399576
1358,481.15,495.51803304661837
1570,501.15,482.909142138286
4442,353.48,376.08602362879674
11757,470.15,466.2676643499366
4342,606.75,571.7852641866787
9059,664.15,592.9291230915863
10078,531.19,514.4031298604104
586,380.15,398.66175548509955
247,282.55,341.99433035761706
4345,609.18,578.5265011120657
5046,472.87,464.6440054091038
3307,384.76,394.4874694147503
6482,660.67,619.5110672657382
1482,493.15,511.1341051827081
3710,520.15,493.2169125329841
9202,425.9,446.17361543975665
5611,391.4,423.96934524849087
518,378.65,367.2889001378167
4454,355.86,369.67926488212595
2791,516.15,446.3752524437403
6916,423.85,464.4854038120493
9861,508.88,508.09548089565953
1470,492.15,402.3128893181574
8104,429.29,430.3742713608862
11791,471.15,463.72784211522156
3366,478.91,361.3322163510681
9859,508.65,501.3204010603892
11401,611.94,586.2409617200285
50,366.35,395.7576225864772
7642,532.6,507.2906574719383
1730,521.15,496.8744804922056
10206,554.86,539.9029661395864
1593,503.65,506.16045862527164
2407,436.65,421.4952303009608
6561,378.07,403.3473662284208
9295,439.45,430.0542047101061
6810,409.4,439.6470117318667
4053,420.44,421.437536617512
7924,373.15,469.6371080347992
5937,443.1,448.1425663107972
5270,546.65,431.73289869483534
4015,411.65,374.59311169864696
4600,389.58,394.65535687974887
10860,482.67,499.6164228435774
8829,535.0,510.5655468514532
6119,479.07,459.0492972239565
4315,563.11,574.0235233009033
379,394.75,407.30610584524544
6341,543.68,519.2411589012413
9350,446.82,447.21988679807197
8768,518.73,508.94985970848234
8524,488.57,465.3060385075128
6822,411.99,413.4357341779712
10591,431.52,436.4019453465453
4313,561.59,523.6844178796052
9994,519.7,489.0295171006534
2333,421.75,394.8038512289078
5684,406.15,417.27164546379447
9144,393.65,494.37114041050927
10211,557.21,524.0953516573239
3231,444.29,448.4293294193173
6443,599.65,488.34184579204003
10873,484.65,451.4916025190605
4269,523.34,520.6187646258309
1237,467.15,451.91267352923785
10116,536.34,546.3019127311211
5613,391.65,396.81145180867605
11608,463.15,460.7718536534812
2128,369.65,461.3016011484484
4925,446.15,552.8366865973551
8849,543.48,508.7845183020408
5526,376.67,397.37935591922286
12082,512.04,499.1208778367141
11026,510.15,488.03647080176745
7677,540.3,540.2143758834056
1328,476.45,473.80235801877046
4102,439.65,408.49849809823024
10090,533.02,519.2189682503368
10790,467.35,449.3727408027938
6101,475.56,474.01933594648483
10154,542.92,518.3301062299976
10632,447.52,445.3866827736492
11452,659.46,620.3317931341076
8757,518.15,486.3335343271222
2984,567.15,522.4071889995478
2021,339.15,415.0377921307841
11485,336.65,385.52466356162483
3375,493.02,438.17269100228896
12441,590.29,544.7402501749706
11595,460.15,457.827344991239
2982,566.15,445.91631495086176
11038,513.1,506.54249250581773
6020,460.15,387.2490278095083
149,440.15,435.3264238090685
5758,418.15,413.34037757709456
3702,513.04,488.6912221340544
9257,434.08,439.4840846999674
5610,391.31,410.75215568775553
9315,442.66,427.6397890316625
12190,531.5,516.9855787269889
6149,487.15,485.6079832523976
5333,580.9,549.6993676623958
200,429.35,423.3112687915832
10984,505.62,479.73452930583176
2820,523.15,545.1760541715387
251,304.35,330.52591301468595
8421,472.06,474.50878347442773
2145,371.34999999999997,368.87404158635786
5040,471.69,475.46167499740955
6651,390.85,392.5775920327719
3668,488.34,456.98726133318576
3889,372.9,372.54568278467696
7320,471.06,456.6739092278307
2980,566.65,476.9516657744664
9536,473.24,477.9956920586304
7655,535.12,492.7525379961829
385,404.15,410.2847421177029
6188,496.15,490.3012339370333
3946,391.65,402.9138526946196
6758,403.74,458.15034026061085
12574,659.6,587.2141320852159
7244,462.03889,432.68115203573996
3386,520.93,522.7490837164405
4077,428.6,462.2885611614662
4900,439.99,414.32341496917775
744,404.25,419.5044708238309
8918,560.78,539.3031052321103
10258,569.14,531.2668522076187
7174,453.15,506.1268499899203
5773,419.65,431.3605348539122
12176,528.71,518.0467858154382
6346,545.34,516.2384418663048
2391,433.15,478.9563249734838
3353,457.3,438.1240423307876
10311,581.53,539.5095092232252
7040,438.88,432.6484234409883
5321,571.41,552.212492481818
4336,601.0,550.6383379281519
4655,398.65,584.4581312840254
7628,529.67,496.3779933540458
10724,455.15,448.05014752844903
6051,465.02,468.2391306614869
1121,452.65,431.7474238529444
10841,478.91,469.9354057865527
9192,424.15,442.70185624610957
3942,390.82,416.898632621872
357,359.45,356.4646634488249
3060,311.45,350.2642394482945
5964,448.15,450.710879898794
11520,404.55,507.3031052449643
2348,425.65,571.6968819275887
2993,569.15,627.9870293862743
4475,363.02,381.48494492670153
12320,553.32,529.2507667082637
9381,450.82,458.46318365898196
7442,487.26,486.6541496504301
4382,327.45,374.51667421519016
4483,363.46,367.97642561528016
8747,515.65,459.8143269286193
9103,363.65,499.59536989066
12275,544.03,559.0046974116946
5587,386.64,381.0004519777313
3421,675.25,658.7595698532778
5517,375.15,396.70668673278993
11306,568.56,517.2023882833784
396,382.25,392.38338431038824
6887,420.84,405.09733741842604
7625,529.34,485.5466382037772
4024,413.65,404.52693347726364
9787,497.58,478.5835596588186
3222,423.28,398.8454160519049
4536,378.28,385.13438422606686
2201,389.15,537.4172923643854
6127,481.03,443.1143438779026
8710,509.56,532.0012039471169
7306,469.2,459.88661067910334
12130,522.89,507.99577707011696
2534,464.15,431.56525054667685
135,472.15,404.209168944621
7272,466.26,442.96308972817565
1989,327.15,457.87025224108606
5050,474.16,465.8991085727058
47,361.15,391.1995848991403
3635,465.2,455.95347780776854
83,386.45,387.54398761330896
11662,465.15,463.07183012533005
5544,380.74,398.52065810502097
3131,359.65,385.41844033278915
10393,614.33,568.2534703194693
2859,532.95,509.3540672895699
7998,411.15,414.6661382981596
6298,524.74,480.40675885733583
12347,563.02,543.9944673061907
10056,528.9,511.2870864996712
3160,369.65,487.9686869931388
360,359.85,370.3090718334229
9401,454.15,491.9472274270072
8,315.35,350.6878418210364
11658,465.15,460.70729776689984
9999,520.14,506.12886846372135
3698,508.73,489.7432286262551
7159,451.56,443.2416263517873
8794,523.08,508.7305023067879
8538,490.38,502.83073805946367
1650,511.15,470.67165706841286
311,339.45,342.984921714915
7645,533.04,518.3362905202749
2981,566.15,445.91631495086176
1617,507.15,507.42603580411617
10318,583.02,580.4699709133758
2543,466.15,441.6036133543174
11324,575.34,563.1745840163163
3522,390.1,395.5015204426149
7188,455.65,474.070395040755
5044,472.15,468.48933109418016
2507,458.15,427.9891773553102
7072,442.15,473.38968333353347
12255,540.7,526.0852543101903
5350,597.34,561.2742959994624
5871,431.1,453.3763494413987
8724,512.15,509.85695145111976
9750,494.56,503.6496656954022
4847,428.15,434.94878857818395
2677,490.65,466.6006372984762
5459,362.15,377.1472018840784
884,423.15,465.5901409942137
5632,396.05,406.21011050624975
7481,494.65,497.12565969036916
6830,412.83,413.0684662799433
2054,351.15,358.70633084777984
3169,285.88,312.4262061276297
10009,521.07,487.87497286917744
5769,419.15,425.79690784500974
113,418.15,430.2925810622877
4132,448.41,433.02667495711717
9004,604.78,559.0136937366374
5479,366.15,516.3351482095975
5945,444.49,434.95230212026837
5171,505.04,487.80511369379667
4901,440.31,430.19005317240396
1153,458.15,517.384472930897
8655,501.15,499.0554112633684
7049,439.98,431.55992645096546
3115,354.15,446.83502633406147
4768,414.15,403.07565147255144
9883,511.15,454.5106374168607
7502,497.8,497.9552244615112
2319,418.15,457.6069282579251
6210,501.44,518.8760849799845
5099,486.43,480.8396170221864
