,Actual,Predict
5613,391.65,384.77672636539614
11608,463.15,461.74900770345687
2128,369.65,450.3165742238648
4925,446.15,564.252027936508
8849,543.48,574.6179921428571
5526,376.67,376.9806320793164
12082,512.04,499.03842356310327
11026,510.15,486.7741594513275
7677,540.3,537.0509162984308
1328,476.45,457.87021510167165
4102,439.65,390.2402963196175
10090,533.02,514.1961768078556
10790,467.35,459.47743360963096
6101,475.56,463.0724492279233
10154,542.92,527.6203064232989
10632,447.52,454.6702684139211
11452,659.46,585.509992487992
8757,518.15,493.00552384484814
2984,567.15,522.0516475465629
2021,339.15,406.74464477617124
11485,336.65,481.63176527959223
3375,493.02,434.3690948942619
12441,590.29,554.9222621825397
11595,460.15,465.4607787365105
2982,566.15,521.0237688193416
11038,513.1,483.2503733527926
6020,460.15,368.083002045324
149,440.15,444.4340380120196
5758,418.15,408.822585390443
3702,513.04,559.5506099525596
9257,434.08,441.7398588439231
5610,391.31,390.07002413872215
9315,442.66,437.3010254005126
12190,531.5,526.51719555469
6149,487.15,476.1289462340279
5333,580.9,574.3951734920633
200,429.35,417.83816408847736
10984,505.62,500.78676662983816
2820,523.15,480.2509372336873
251,304.35,355.2574617650103
8421,472.06,463.14728729705456
2145,371.34999999999997,375.01726329915175
5040,471.69,451.639523743205
6651,390.85,392.9134846864451
3668,488.34,490.21247814354734
3889,372.9,342.400133926893
7320,471.06,452.1354620429276
2980,566.65,543.1320608283389
9536,473.24,476.45898027169744
7655,535.12,441.01402512189554
385,404.15,403.518565655167
6188,496.15,506.4850956349208
3946,391.65,391.3145492011428
6758,403.74,438.52035443422756
12574,659.6,608.6265727754321
7244,462.03889,449.0136391261229
3386,520.93,557.3245337608892
4077,428.6,440.72451044869626
4900,439.99,426.2428924627298
744,404.25,400.7538846148637
8918,560.78,558.9686415275911
10258,569.14,565.9724099231242
7174,453.15,528.6224257237208
5773,419.65,430.1059277199708
12176,528.71,537.1214933698293
6346,545.34,522.5759968636463
2391,433.15,536.163924215081
3353,457.3,456.78338356517065
10311,581.53,573.7494521745699
7040,438.88,438.37087655164373
5321,571.41,526.6187965056022
4336,601.0,617.7432862853273
4655,398.65,468.7181716256845
7628,529.67,512.8885165430864
10724,455.15,454.7745982749254
6051,465.02,458.17412298157586
1121,452.65,403.8858571419446
10841,478.91,464.96136704184727
9192,424.15,417.5315816595286
3942,390.82,446.7362916057298
357,359.45,360.3162268040727
3060,311.45,332.67841157738127
5964,448.15,442.05313309913276
11520,404.55,519.8900195768382
2348,425.65,520.9222131746515
2993,569.15,624.897493138528
4475,363.02,357.9048990265872
12320,553.32,531.5644008610922
9381,450.82,468.8109028794685
7442,487.26,482.54346037518076
4382,327.45,340.5229720957766
4483,363.46,370.5483587407762
8747,515.65,487.5198923936816
9103,363.65,491.5690846569325
12275,544.03,526.2471030106959
5587,386.64,383.64531276046927
3421,675.25,592.7598653174603
5517,375.15,373.2660556126986
11306,568.56,552.2541849265584
396,382.25,387.88896818638773
6887,420.84,440.44702882202824
7625,529.34,484.5092379365606
4024,413.65,411.7762577819738
9787,497.58,459.889350759803
3222,423.28,424.56510693906586
4536,378.28,397.65670246003737
2201,389.15,534.9064617207795
6127,481.03,475.2727963378089
8710,509.56,524.7270425865802
7306,469.2,454.3824885916146
12130,522.89,500.78599956709945
2534,464.15,433.6128270141047
135,472.15,485.6055642662058
7272,466.26,442.2754951526251
1989,327.15,452.9712759479345
5050,474.16,461.5367469401751
47,361.15,371.06405871987675
3635,465.2,395.5266579220635
83,386.45,387.89873678386516
11662,465.15,471.5812001403929
5544,380.74,376.61553368016024
3131,359.65,357.7489935675075
10393,614.33,488.66618769841284
2859,532.95,535.9473732472975
7998,411.15,412.91449261683135
6298,524.74,531.4620331529132
12347,563.02,551.0258277380951
10056,528.9,522.5955309183644
3160,369.65,478.0561411202206
360,359.85,361.25013592545
9401,454.15,492.0919129036055
8,315.35,327.4123602080616
11658,465.15,467.9052699063709
9999,520.14,515.3680217673209
3698,508.73,499.856488698395
7159,451.56,431.3964789699246
8794,523.08,490.9658415571766
8538,490.38,496.5229326934452
1650,511.15,466.2577484197363
311,339.45,340.4902823292489
7645,533.04,533.6078125915751
2981,566.15,521.0237688193416
1617,507.15,541.5536704465013
10318,583.02,590.8289900836517
2543,466.15,486.1642462066322
11324,575.34,577.3335107539684
3522,390.1,374.36460099095007
7188,455.65,483.36373725357845
5044,472.15,487.60884763347786
2507,458.15,444.7452388095237
7072,442.15,476.78407473957327
12255,540.7,528.9408322357434
5350,597.34,544.922015148533
5871,431.1,440.20374288198616
8724,512.15,492.94373386949366
9750,494.56,510.03596216824985
4847,428.15,442.2821489411475
2677,490.65,493.22970207020916
5459,362.15,360.45120958594947
884,423.15,441.05180332874824
