,Actual,Predict
11147,534.39,518.558048601433
12138,523.92,507.2954702941798
102,419.15,427.67765308735886
9247,433.15,438.9951390929635
8200,444.15,476.42613450853065
12544,643.42,597.0824421246422
8376,467.35,486.96529466936846
7434,486.68,496.6990952775964
772,409.15,483.0342721114659
3541,404.65,404.76075270536114
7478,494.03,475.5449017397801
434,434.25,438.14658157887266
2455,447.65,486.7846833432206
4508,370.65,383.04537448980835
5952,445.18,449.4363309975581
3550,411.15,470.19842166844796
3528,391.84,430.34883950767465
2666,490.65,559.6391380893352
811,413.15,406.62596192355767
4907,441.95,458.0263379465864
2673,490.15,451.5627269542994
4216,484.65,453.78099966945564
3877,366.42,393.9192922502584
293,363.95,382.98999434200647
12102,517.15,492.36967928752523
6817,410.6,407.60993724070033
103,424.65,422.80121161172235
7500,497.16,480.95495880245966
8679,504.98,502.9392713124146
7413,483.15,534.3283543894862
9617,482.44,462.1188493124963
3706,516.14,518.4531415445324
8273,456.07,461.2625747126329
9713,490.78,484.93579767150146
2318,417.25,476.8183456465715
4191,473.15,409.778147391686
3154,368.15,400.4616686310441
979,436.15,446.25804841040275
7820,605.04,558.5902222200467
8693,506.02,488.6975757245846
33,365.15,370.7090327264692
1434,488.65,480.59454942731384
1107,451.25,442.7029490656249
9910,514.12,496.4946345299571
895,425.04999999999995,429.015522897571
7795,586.62,542.7317182342972
8806,526.03,485.9141630138415
11560,446.65,494.4567241939974
4292,538.78,500.23145036707854
8240,450.27,438.9611040131998
11525,406.15,571.6975644892317
12287,545.65,608.3716998133739
6554,376.8,389.2809109561431
12254,540.7,518.4847850861528
3328,419.15,418.4003215099729
9026,623.48,562.3392825894459
9841,505.15,484.77356240029434
5272,547.2,463.53237162641614
1114,452.15,513.807403131508
5245,536.36,540.2494700033552
8649,500.03,471.7333920900337
10658,450.15,461.60656442735996
2998,572.15,531.7876810771229
10425,626.93,573.4456730355992
2754,505.65,479.5216923305288
10708,454.15,459.64508050709276
7007,436.07,441.5439700400427
1457,490.65,505.9218071008456
1039,443.65,514.8041861574525
10540,378.15,467.41436080101244
3921,386.15,450.8794825279614
7717,551.92,514.6661565847728
1402,484.65,484.40061712968037
1261,469.15,461.5761101623979
8251,452.15,471.928941826291
3910,381.22,388.66078133801886
11528,407.65,483.27316356598976
12612,702.6,618.9277353106833
12328,557.26,527.1935357384705
3334,428.33,451.95948507942603
8188,442.42,426.469204108573
653,390.84999999999997,408.7209896920109
1282,471.15,496.26257776867703
3527,391.77,412.59772218206075
828,415.15,531.6440152132434
5805,423.15,419.5699443087483
9158,401.15,487.11404625956214
3017,581.15,535.1293820895352
