,CAS,NAME,SMILES
34,['72912-01-7'],"2-[16-(carboxymethyl)-1,4,10,13-tetraoxa-7,16-diazacyclooctadec-7-yl]acetic acid",C1COCCOCCN(CCOCCOCCN1CC(=O)O)CC(=O)O
35,['72918-28-6'],"8-amino-2,3,6,7-tetrabromo-5-hydroxy-4-iminonaphthalen-1-one",C12=C(C(=C(C(=C1N)Br)Br)O)C(=N)C(=C(C2=O)Br)Br
36,['72918-29-7'],"8-amino-2,3,6-tribromo-5-hydroxy-4-iminonaphthalen-1-one",C1=C(C2=C(C(=C1Br)O)C(=N)C(=C(C2=O)Br)Br)N
37,['72927-82-3'],"(6E,9E)-9,13-dimethyltetradeca-1,6,9,12-tetraen-5-one",CC(=CC/C=C(\C)/C/C=C/C(=O)CCC=C)C
38,['72927-97-0'],5-(2-hydroxy-2-methylpropylidene)cyclohex-3-ene-1-carbaldehyde,CC(C)(C=C1CC(CC=C1)C=O)O
39,['72928-00-8'],"2,4,8-trimethyldeca-4,9-dienal",CC(CCC=C(C)CC(C)C=O)C=C
40,['72928-01-9'],4-methyl-5-(3-methylbut-2-enyl)cyclohex-3-ene-1-carbonitrile,CC1=CCC(CC1CC=C(C)C)C#N
41,['72928-04-2'],4-[4-(1-ethoxyethoxy)but-1-en-2-yl]-1-methylcyclohexene,CCOC(C)OCCC(=C)C1CCC(=CC1)C
42,['72928-05-3'],3-(2-bicyclo[2.2.1]heptanylidene)butanenitrile,CC(=C1CC2CCC1C2)CC#N
43,['72928-06-4'],3-(2-bicyclo[2.2.1]heptanyl)but-3-enenitrile,C=C(CC#N)C1CC2CCC1C2
44,['72928-07-5'],3-(2-bicyclo[2.2.1]heptanyl)but-2-enenitrile,CC(=CC#N)C1CC2CCC1C2
45,['72928-15-5'],"2-(8-tricyclo[5.2.1.02,6]dec-4-enyloxy)acetaldehyde",C1C=CC2C1C3CC2C(C3)OCC=O
46,['72928-22-4'],3-methyl-2-(3-methylbut-2-enyl)cyclohex-3-ene-1-carbonitrile,CC1=CCCC(C1CC=C(C)C)C#N
47,['72928-23-5'],1-[4-methyl-5-(3-methylbut-2-enyl)cyclohex-3-en-1-yl]ethanone,CC1=CCC(CC1CC=C(C)C)C(=O)C
48,['72928-24-6'],undec-10-enyl propanoate,CCC(=O)OCCCCCCCCCC=C
49,['72928-25-7'],3-(4-methylcyclohex-3-en-1-yl)but-3-enyl 2-methylbutanoate,CCC(C)C(=O)OCCC(=C)C1CCC(=CC1)C
50,['72928-26-8'],6-ethoxy-7-methyl-1-pentylbicyclo[3.2.0]heptan-2-one,CCCCCC12C(C(C1CCC2=O)OCC)C
51,['72928-27-9'],"4,8-dimethyldeca-4,9-dien-1-ol",CC(CCC=C(C)CCCO)C=C
52,['72928-28-0'],2-(2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-yl)propanal,CC1=CCC(CC1C(C)C=O)C(=C)C
53,['72928-34-8'],3-methylbutyl (E)-hex-2-enoate,CCC/C=C/C(=O)OCCC(C)C
54,['72928-37-1'],2-methyl-2-prop-2-enylundecanal,CCCCCCCCCC(C)(CC=C)C=O
55,['72928-41-7'],10-methoxydec-1-ene,COCCCCCCCCC=C
56,['72928-42-8'],[2-hydroxy-3-[2-(2-hydroxy-3-prop-2-enoyloxypropoxy)propoxy]propyl] prop-2-enoate,CC(COCC(COC(=O)C=C)O)OCC(COC(=O)C=C)O
57,['72928-47-3'],"(2E,4E)-4-ethylocta-2,4-dienoic acid",CCC/C=C(\CC)/C=C/C(=O)O
58,['72928-96-2'],"cyclohexane-1,4-dicarboxylic acid;hexane-1,6-diamine;undecane-1,11-diamine",C1CC(CCC1C(=O)O)C(=O)O.C(CCCCCN)CCCCCN.C(CCCN)CCN
59,['72929-00-1'],2-(dimethylamino)ethyl 2-methylprop-2-enoate;2-hydroxyethyl 2-methylprop-2-enoate;octadecyl 2-methylprop-2-enoate,CCCCCCCCCCCCCCCCCCOC(=O)C(=C)C.CC(=C)C(=O)OCCN(C)C.CC(=C)C(=O)OCCO
60,['72939-50-5'],"(E)-5-methylhept-4-ene-2,3,6-trione",C/C(=C\C(=O)C(=O)C)/C(=O)C
61,['72939-53-8'],(2E)-2-(2-hydroxy-2-methylpropylidene)cyclohex-3-ene-1-carbaldehyde,CC(C)(/C=C/1\C=CCCC1C=O)O
62,['72939-68-5'],"3,5,5-trimethylhexyl butanoate",CCCC(=O)OCCC(C)CC(C)(C)C
63,['72968-62-8'],"(NE)-N-butan-2-ylidenehydroxylamine;1,6-diisocyanatohexane;2-ethyl-2-(hydroxymethyl)propane-1,3-diol",CC/C(=N/O)/C.CCC(CO)(CO)CO.C(CCCN=C=O)CCN=C=O
64,['72968-70-8'],"dodecanedioic acid;undecane-1,11-diamine",C(CCCCCN)CCCCCN.C(CCCCCC(=O)O)CCCCC(=O)O
65,['72983-68-7'],2-(2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-yl)acetaldehyde,CC1=CCC(CC1CC=O)C(=C)C
66,['72986-57-3'],None,None
67,['72987-34-9'],"(9Z,11Z)-octadeca-9,11-dien-1-amine",CCCCCC/C=C\C=C/CCCCCCCCN
68,['72987-41-8'],"2-[bis(2-hydroxyethyl)amino]ethanol;2,5-dihydroxy-6-octadecoxyhexane-1,2,3-tricarboxylic acid",CCCCCCCCCCCCCCCCCCOCC(CC(C(=O)O)C(CC(=O)O)(C(=O)O)O)O.C(CO)N(CCO)CCO
69,['72987-58-7'],6-prop-1-en-2-yl-8-oxabicyclo[3.2.1]octane,CC(=C)C1CC2CCCC1O2
70,['72987-60-1'],4-cyclopentyl-2-methylcyclohexan-1-ol,CC1CC(CCC1O)C2CCCC2
71,['72987-61-2'],2-cyclopentyl-6-methylcyclohexan-1-ol,CC1CCCC(C1O)C2CCCC2
72,['73003-75-5'],3-methylbut-2-enyl 5-methylhexanoate,CC(C)CCCC(=O)OCC=C(C)C
73,['73003-76-6'],2-methylbut-2-enyl 2-methylbut-2-enoate,CC=C(C)COC(=O)C(=CC)C
74,['73003-77-7'],"1-(1-ethoxyethoxy)-3,7-dimethylocta-2,6-diene",CCOC(C)OCC=C(C)CCC=C(C)C
75,['73003-78-8'],"2,2-bis(prop-2-enoyloxymethyl)butyl 3-(azepan-1-yl)propanoate",CCC(COC(=O)CCN1CCCCCC1)(COC(=O)C=C)COC(=O)C=C
76,['73003-80-2'],"2,2-dibromopropanediamide",C(=O)(C(C(=O)N)(Br)Br)N
77,['73003-91-5'],"2-[(3S,5R,8S)-3,8-dimethyl-1,2,3,4,5,6,7,8-octahydroazulen-5-yl]propan-2-yl butanoate",CCCC(=O)OC(C)(C)[C@@H]1CC[C@@H](C2=C(C1)[C@H](CC2)C)C
78,['73018-31-2'],2-(16-methylheptadecyl)oxirane;2-methyloxirane,CC1CO1.CC(C)CCCCCCCCCCCCCCCC1CO1
79,['73018-32-3'],2-methyloxirane;6-(oxiran-2-yl)hexyl octadecanoate,CCCCCCCCCCCCCCCCCC(=O)OCCCCCCC1CO1.CC1CO1
80,['73018-33-4'],None,None
81,['73019-11-1'],(E)-N-(hydroxymethyl)octadec-9-enamide,CCCCCCCC/C=C/CCCCCCCC(=O)NCO
82,['73019-13-3'],2-[bis(2-hydroxyethyl)amino]ethanol;2-[methyl-[(E)-octadec-9-enoyl]amino]acetic acid,CCCCCCCC/C=C/CCCCCCCC(=O)N(C)CC(=O)O.C(CO)N(CCO)CCO
83,['73019-15-5'],"[(2E)-3,7-dimethylocta-2,6-dienyl] heptanoate",CCCCCCC(=O)OC/C=C(\C)/CCC=C(C)C
84,['73019-16-6'],"3,5,5-trimethylhexyl hexanoate",CCCCCC(=O)OCCC(C)CC(C)(C)C
85,['73019-21-3'],1-[3-methyl-2-(3-methylbut-2-enyl)cyclohex-3-en-1-yl]ethanone,CC1=CCCC(C1CC=C(C)C)C(=O)C
86,['73037-35-1'],"tricyclo[5.2.1.02,6]decane-4-carbonitrile",C1CC2CC1C3C2CC(C3)C#N
87,['73045-26-8'],,C1=CC2C=CC1C2=C=C3C4C=CC3C=C4
88,['73045-27-9'],,C1C2(C13C4C=CC3C=C4)C5C=CC2C=C5
89,['73045-98-4'],"(1R,2S)-2-hydroxycyclohexane-1-carboxamide",C1CC[C@@H]([C@@H](C1)C(=O)N)O
90,['73046-16-9'],"1,3-ditert-butylcyclopenta-1,3-diene",CC(C)(C)C1=CC(=CC1)C(C)(C)C
91,['73049-34-0'],1-ethoxyhexadecane,CCCCCCCCCCCCCCCCOCC
92,['73049-40-8'],(2S)-2-tetracosyloxirane,CCCCCCCCCCCCCCCCCCCCCCCC[C@H]1CO1
93,['73050-57-4'],,C(=C1C2C3C2C4C3C41)=C5C6C7C6C8C7C85
94,['73050-58-5'],,C1C2(C13C4C5C4C6C5C36)C7C8C7C9C8C29
95,['73059-87-7'],(Z)-4-sulfanylpent-3-en-2-one,C/C(=C/C(=O)C)/S
96,['73112-99-9'],"[(3S,8S,9S,10R,13R,14R,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] 4-chlorobutanoate",C[C@H](CCCC(C)C)[C@H]1CC[C@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OC(=O)CCCCl)C)C
97,['73117-10-9'],"N,N-diethylpent-2-yn-1-amine",CCC#CCN(CC)CC
98,['73120-52-2'],"1,12-dimethoxydodecane",COCCCCCCCCCCCCOC
99,['73170-89-5'],(Z)-docos-13-enenitrile,CCCCCCCC/C=C\CCCCCCCCCCCC#N
100,['73179-35-8'],2-hexoxy-1-[1-[2-(2-hexoxy-1-hydroxyethoxy)propoxy]propan-2-yloxy]ethanol,CCCCCCOCC(O)OC(C)COCC(C)OC(COCCCCCC)O
101,['73180-00-4'],"(2E,4E,6E,8E)-15-hydroxyicosa-2,4,6,8-tetraenoic acid",CCCCCC(CCCCC/C=C/C=C/C=C/C=C/C(=O)O)O
102,['73239-98-2'],"2-methoxy-2,6-dimethyl-4-nitrosomorpholine",CC1CN(CC(O1)(C)OC)N=O
103,['73246-45-4'],methyl (2S)-2-chloropropanoate,C[C@@H](C(=O)OC)Cl
104,['73263-30-6'],(3-acetyloxy-2-ethylhexyl) acetate;hexanedioic acid,CCCC(C(CC)COC(=O)C)OC(=O)C.C(CCC(=O)O)CC(=O)O
105,['73287-35-1'],"1,4,5,6,7,7-hexachlorobicyclo[2.2.1]hept-5-ene-2,3-dicarboxylic acid;6-[4-[2-(4-hydroxycyclohexyl)propan-2-yl]cyclohexyl]oxy-6-oxohexanoic acid;2-(2-hydroxyethoxy)ethanol",CC(C)(C1CCC(CC1)O)C2CCC(CC2)OC(=O)CCCCC(=O)O.C(COCCO)O.C1(C(C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)C(=O)O)C(=O)O
106,['73287-52-2'],2-(2-prop-2-enoyloxyethoxy)ethyl 3-(diethylamino)propanoate,CCN(CC)CCC(=O)OCCOCCOC(=O)C=C
107,['73296-86-3'],"3-(2,3-dihydroxypropoxy)propane-1,2-diol;16-methylheptadecanoic acid",CC(C)CCCCCCCCCCCCCCC(=O)O.C(C(COCC(CO)O)O)O
108,['73311-40-7'],prop-2-en-1-imine,C=CC=N
109,['73320-99-7'],9-propyl-9-azabicyclo[3.3.1]nonane,CCCN1C2CCCC1CCC2
110,['73321-04-7'],9-methoxy-9-azabicyclo[3.3.1]nonane,CON1C2CCCC1CCC2
111,['73321-24-1'],"tricyclo[5.2.2.02,6]undeca-2,5,8-triene",C1CC2C=CC1C3=CCC=C23
112,['73321-28-5'],"tetracyclo[6.2.1.13,6.02,7]dodec-2(7)-ene",C1CC2CC1C3=C2C4CCC3C4
113,['73322-95-9'],9-chloro-9-azabicyclo[3.3.1]nonane,C1CC2CCCC(C1)N2Cl
114,['73322-99-3'],,CC(C)N=NC(C)(C)CCC[C](C)C
115,['73347-75-8'],"(2R,5R)-2,6,6-trimethyl-10-methylidene-1-oxaspiro[4.5]decane",C[C@@H]1CC[C@]2(O1)C(=C)CCCC2(C)C
116,['73361-36-1'],None,None
117,['73384-68-6'],"8-amino-2,6-dibromo-5-hydroxy-4-iminonaphthalen-1-one",C1=C(C2=C(C(=N)C=C(C2=O)Br)C(=C1Br)O)N
118,['73398-85-3'],"2-methyl-4-(2,6,6-trimethylcyclohex-2-en-1-yl)butanal",CC1=CCCC(C1CCC(C)C=O)(C)C
119,['73398-98-8'],"(3E,5E)-2-methylundeca-1,3,5-triene",CCCCC/C=C/C=C/C(=C)C
120,['73398-99-9'],"(4E,6E)-2-methylundeca-2,4,6-triene",CCCC/C=C/C=C/C=C(C)C
121,['73411-12-8'],bromo-dichloro-nitrosomethane,C(N=O)(Cl)(Cl)Br
122,['73411-13-9'],dibromo-chloro-nitrosomethane,C(N=O)(Cl)(Br)Br
123,['73448-66-5'],pentan-2-yl 2-bromoacetate,CCCC(C)OC(=O)CBr
124,['73454-79-2'],1-butyl-2-methylhydrazine;dihydrochloride,CCCCNNC.Cl.Cl
125,['73487-24-8'],N-butyl-N-(5-oxooxolan-2-yl)nitrous amide,CCCCN(C1CCC(=O)O1)N=O
126,['73495-63-3'],"5-amino-1,2,3,3a,4,5,5a,6,7,8,8a,8b-dodecahydro-as-indacen-4-ol",C1CC2C3CCCC3C(C(C2C1)N)O
127,['73507-49-0'],"2,3-dimethyl-4-(2,6,6-trimethylcyclohex-2-en-1-yl)but-2-enal",CC1=CCCC(C1CC(=C(C)C=O)C)(C)C
128,['73545-13-8'],"trimethyl 5-hexyl-4-oxocyclopentane-1,1,3-tricarboxylate",CCCCCCC1C(=O)C(CC1(C(=O)OC)C(=O)OC)C(=O)OC
129,['73545-19-4'],"(Z)-1,1-diethoxydec-4-ene",CCCCC/C=C\CCC(OCC)OCC
130,['73545-25-2'],2-methylbutyl prop-2-enoate;oxiran-2-ylmethyl 2-methylprop-2-enoate;prop-2-enoic acid,CCC(C)COC(=O)C=C.CC(=C)C(=O)OCC1CO1.C=CC(=O)O
131,['73545-27-4'],aziridine;butyl prop-2-enoate;methyl 2-methylprop-2-enoate;prop-2-enoic acid,CCCCOC(=O)C=C.CC(=C)C(=O)OC.C=CC(=O)O.C1CN1
132,['73551-02-7'],"N,N-bis(difluoromethyl)-1,1,1-trifluoromethanamine",C(N(C(F)F)C(F)(F)F)(F)F
133,['73551-03-8'],"N,N-bis(difluoromethyl)-1,1-difluoromethanamine",C(N(C(F)F)C(F)F)(F)F
134,['73563-15-2'],"N-(difluoromethyl)-1,1,1-trifluoro-N-(trifluoromethyl)methanamine",C(N(C(F)(F)F)C(F)(F)F)(F)F
135,['73569-74-1'],"3,4,6,7,8,9-hexahydro-1H-pyridazino[1,2-c][1,3,4]oxadiazine",C1CCN2COCCN2C1
136,['73586-31-9'],"pentacyclo[5.3.1.02,4.02,5.04,9]undecane",C1C2CC3CC1C45C3(C4)C5C2
137,['73597-26-9'],"2-[(5-isocyanato-1,3,3-trimethylcyclohexyl)methylcarbamoyloxy]ethyl 2-methylprop-2-enoate",CC(=C)C(=O)OCCOC(=O)NCC1(CC(CC(C1)(C)C)N=C=O)C
138,['73599-90-3'],1-(3-chloro-1-adamantyl)-2-hydroxyethanone,C1C2CC3(CC1CC(C2)(C3)Cl)C(=O)CO
139,['73599-92-5'],2-hydroxy-1-(3-iodo-1-adamantyl)ethanone,C1C2CC3(CC1CC(C2)(C3)I)C(=O)CO
140,['73599-95-8'],1-(3-bromo-1-adamantyl)-2-ethoxyethanone,CCOCC(=O)C12CC3CC(C1)CC(C3)(C2)Br
141,['73602-61-6'],"N,N-diethylethanamine;trihydrofluoride",CCN(CC)CC.F.F.F
142,['73612-26-7'],"1-ethyl-5-methyl-3,4-dihydro-2H-pyrrol-1-ium;iodide",CC[N+]1=C(CCC1)C.[I-]
143,['73622-68-1'],N-(5-methylhexan-2-yl)-3-oxobutanamide,CC(C)CCC(C)NC(=O)CC(=O)C
144,['73642-91-8'],"1,2-dibromononane",CCCCCCCC(CBr)Br
145,['73665-15-3'],"(2R,3R,6E,8S,9S,10S,12R,14E)-9-[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-3-ethyl-2-[[(2R,3R,4R,5R,6R)-5-hydroxy-3,4-dimethoxy-6-methyloxan-2-yl]oxymethyl]-8,10,12-trimethyl-4,17-dioxabicyclo[14.1.0]heptadeca-6,14-diene-5,13-dione",CC[C@@H]1[C@H](C2C(O2)/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H](/C=C/C(=O)O1)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)C)C)CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC
146,['73676-23-0'],1-ethylazocane,CCN1CCCCCCC1
147,['73684-69-2'],"(1R,2S,3R,6E,8S,9S,10S,12R,14E,16S)-9-[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-3-ethyl-2-hydroxy-2-[[(2R,3R,4R,5R,6R)-5-hydroxy-3,4-dimethoxy-6-methyloxan-2-yl]oxymethyl]-8,10,12-trimethyl-4,17-dioxabicyclo[14.1.0]heptadeca-6,14-diene-5,13-dione",CC[C@@H]1[C@]([C@H]2[C@@H](O2)/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H](/C=C/C(=O)O1)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)C)C)(CO[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)C)O)OC)OC)O
148,['73692-67-8'],"N,N-dimethyloctadecan-1-amine;tetradecanoic acid",CCCCCCCCCCCCCCCCCCN(C)C.CCCCCCCCCCCCCC(=O)O
149,['73692-68-9'],"N,N-dimethyloctadecan-1-amine;hexadecanoic acid",CCCCCCCCCCCCCCCCCCN(C)C.CCCCCCCCCCCCCCCC(=O)O
150,['73696-62-5'],"2-amino-N-(3-methyl-1,3-thiazolidin-2-ylidene)acetamide",CN1CCSC1=NC(=O)CN
151,['73696-64-7'],"(1Z,3E)-1,3-bis(3-methyl-1,3-thiazolidin-2-ylidene)urea",CN\1CCS/C1=N/C(=O)/N=C\2/N(CCS2)C
152,['73696-65-8'],"1-ethyl-3-(3-methyl-1,3-thiazolidin-2-ylidene)urea",CCNC(=O)N=C1N(CCS1)C
153,['73758-54-0'],2-chloro-2-methylbutanoic acid,CCC(C)(C(=O)O)Cl
154,['73772-39-1'],5-chloro-2-methylheptane,CCC(CCC(C)C)Cl
155,['73772-40-4'],N-(3-aminopropyl)decanamide,CCCCCCCCCC(=O)NCCCN
156,['73772-41-5'],N-(3-aminopropyl)octanamide,CCCCCCCC(=O)NCCCN
157,['73772-42-6'],2-[2-(dodecanoylamino)ethylamino]acetic acid,CCCCCCCCCCCC(=O)NCCNCC(=O)O
158,['73772-47-1'],N-[2-[2-[2-(2-aminoethylamino)ethylamino]ethylamino]ethyl]dodecanamide,CCCCCCCCCCCC(=O)NCCNCCNCCNCCN
159,['73772-48-2'],"N,N-bis(2-aminoethyl)dodecanamide",CCCCCCCCCCCC(=O)N(CCN)CCN
160,['73790-84-8'],"2,2,4-trimethyl-1-piperidin-1-ylpentane-1,3-dione",CC(C)C(=O)C(C)(C)C(=O)N1CCCCC1
161,['73791-58-9'],"N,N-bis(2-aminoethyl)tetradecanamide",CCCCCCCCCCCCCC(=O)N(CCN)CCN
162,['73791-65-8'],3-[bis[2-[2-[[(Z)-octadec-9-enoyl]amino]ethylamino]ethyl]amino]propanoic acid,CCCCCCCC/C=C\CCCCCCCC(=O)NCCNCCN(CCNCCNC(=O)CCCCCCC/C=C\CCCCCCCC)CCC(=O)O
163,['73813-61-3'],1-[bis(prop-2-enyl)amino]propan-2-one,CC(=O)CN(CC=C)CC=C
164,['73825-59-9'],"(3S,3'R,3'aS,6'S,6aS,6bS,7'aR,10R,10aS,11R,11aS,11bR)-3',6',10,11b-tetramethylspiro[2,3,4,6,6a,6b,7,8,10,10a,11,11a-dodecahydro-1H-benzo[a]fluorene-9,2'-3a,4,5,6,7,7a-hexahydro-3H-furo[3,2-b]pyridine]-3,11-diol",C[C@H]1C[C@@H]2[C@H]([C@H](C3(O2)CC[C@H]4[C@@H]5CC=C6C[C@H](CC[C@@]6([C@H]5[C@@H]([C@@H]4[C@H]3C)O)C)O)C)NC1
165,['73840-20-7'],"2,2,4-trimethyl-3-oxo-N-[2-[(2,2,4-trimethyl-3-oxopentanoyl)amino]ethyl]pentanamide",CC(C)C(=O)C(C)(C)C(=O)NCCNC(=O)C(C)(C)C(=O)C(C)C
166,['73870-33-4'],"3-nitroso-1,3-thiazolidine",C1CSCN1N=O
167,['73892-11-2'],6-hexadecoxy-6-oxohexanoic acid,CCCCCCCCCCCCCCCCOC(=O)CCCCC(=O)O
168,['73987-00-5'],"[(3S,5R,8R,9S,10S,13R,17R)-3-[(2S,4S,5R,6R)-4,5-bis[[(2R,4S,5S,6R)-4,5-dihydroxy-6-methyloxan-2-yl]oxy]-6-methyloxan-2-yl]oxy-14-hydroxy-10,13-dimethyl-17-(5-oxo-2H-furan-3-yl)-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-16-yl] acetate",C[C@@H]1[C@H]([C@H](C[C@H](O1)O[C@H]2C[C@H](O[C@@H]([C@H]2O[C@@H]3C[C@@H]([C@@H]([C@H](O3)C)O)O)C)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7(C6(CC([C@@H]7C8=CC(=O)OC8)OC(=O)C)O)C)C)O)O
169,['73987-16-3'],"1-[2-(3,3,5-trimethylcyclohexyl)oxypropoxy]propan-2-ol",CC1CC(CC(C1)(C)C)OC(C)COCC(C)O
170,['73989-17-0'],"(1'R,2R,3S,4'S,6S,8'R,12'S,13'S,20'R,21'R,24'S)-2-[(2S)-butan-2-yl]-21',24'-dihydroxy-12'-[(2R,4S,5S,6S)-5-[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy-4-methoxy-6-methyloxan-2-yl]oxy-3,11',13',22'-tetramethylspiro[2,3-dihydropyran-6,6'-3,7,19-trioxatetracyclo[15.6.1.14,8.020,24]pentacosa-10,14,16,22-tetraene]-2'-one",CC[C@H](C)[C@@H]1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)CC=C([C@H]([C@H](C=CC=C4CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)C)C
171,['73991-95-4'],"2-[(4S)-2,2-dimethyl-5-oxo-1,3-dioxolan-4-yl]acetic acid",CC1(O[C@H](C(=O)O1)CC(=O)O)C
