,Name,SMILES
197,['Acetic Acid Hydrazide'],CC(=O)NN
198,['2-Methylpyrazine'],CC1=NC=CN=C1
199,"['3,3-Dimethylpiperidine']",CC1(CCCNC1)C
200,"['2-Pentanamine, 2,4,4-Trimethyl-']",CC(C)(C)CC(C)(C)N
201,['Myrtecaine'],CCN(CC)CCOCCC1=CCC2CC1C2(C)C
202,"['Acetonitrile, (dimethylamino)']",None
203,['Butryic Acid Hydrazide'],None
204,"['Piperazine, 1-Methyl-']",CN1CCNCC1
205,['Hexamethyleneimine'],C1CCCNCC1
206,['Ethyl Dipropylamine'],CCCN(CC)CCC
207,['4-Hydroxy-3-Methoxyphenylacetonitrile'],COC1=C(C=CC(=C1)CC#N)O
208,['Dinocap'],None
209,['O-Methyltyramine'],COC1=CC=C(C=C1)CCN
210,"['1,3-Butanediamine']",CC(CCN)N
211,"[""1,6-Hexanediamine, N,n'-Dibutyl-""]",CCCCNCCCCCCNCCCC
212,['4-Ethylmorpholine'],CCN1CCOCC1
213,['Phenmetrazine'],CC1C(OCCN1)C2=CC=CC=C2
214,['Doxylamine'],CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C
215,['4-Heptanamine'],CCCC(CCC)N
216,['2-Nitrobutane'],CCC(C)[N+](=O)[O-]
217,['Diisobutylamine'],CC(C)CNCC(C)C
218,"['1,3-Propanediamine']",C(CN)CN
219,"['1,10-Diaminodecane']",C(CCCCCN)CCCCN
220,"['1,2,4-Triazole,1-(4-Butylbenzyl)-']",None
221,['Tridemorph'],CCCCCCCCCCCCCN1CC(OC(C1)C)C
222,"['Ethanamine, 2,2-Dimethoxy-n-Methyl-']",CNCC(OC)OC
223,['4-Pentenenitrile'],C=CCCC#N
224,['Cyanamide'],C(#N)N
225,['4-Pyridinemethanol'],C1=CN=CC=C1CO
226,['Isonitrobutane'],None
227,['Tofenacin'],CC1=CC=CC=C1C(C2=CC=CC=C2)OCCNC
228,['O-Nitrophenyl Acetate'],CC(=O)OC1=CC=CC=C1[N+](=O)[O-]
229,"['1h-Pyrazole, 1-Phenyl-']",C1=CC=C(C=C1)N2C=CC=N2
230,['Valeronitrile'],CCCCC#N
231,['Isoaminile'],CC(C)C(CC(C)N(C)C)(C#N)C1=CC=CC=C1
232,['4-Methylpyrimidine'],CC1=NC=NC=C1
233,['2-Methoxypyridine'],COC1=CC=CC=N1
234,['2-Heptanamine'],CCCCCC(C)N
235,"['1,1-Dinitrocyclohexane']",C1CCC(CC1)([N+](=O)[O-])[N+](=O)[O-]
236,['Diallylcyanamide'],C=CCN(CC=C)C#N
237,['(1-Methyl-Piperidin-3-Yl)-Methanol'],CN1CCCC(C1)CO
238,['P-Methyldiphenhydramine'],CC1=CC=C(C=C1)C(C2=CC=CC=C2)OCCN(C)C
239,['3-Methylpyrrole'],CC1=CNC=C1
240,"['Isoxazole, 3,5-Dimethyl-']",CC1=CC(=NO1)C
241,['2-Pyridinecarboxamide'],C1=CC=NC(=C1)C(=O)N
242,"['4,5-Dihydro-1h-Pyrazole']",C1CNN=C1
243,['Isopentyl Nitrate'],CC(C)CCO[N+](=O)[O-]
244,"['1,2-Ethanediamine, N,n-Diethyl-']",CCN(CC)CCN
245,"['Piperidine, 3,5-Dimethyl-']",CC1CC(CNC1)C
246,"[""1,3-Propanediamine, N,n,n',n'-Tetramethyl-""]",CN(C)CCCN(C)C
