,A_act,A_pred,B_act,B_pred,C_act,C_pred,0
593,20.94463636778686,21.06844,2758.6972663099573,3572.1409,-47.873,-67.68229,294.0
1736,20.460609955388584,20.679903,3318.02511900442,3379.564,-68.45,-72.81291,398.0
585,20.640856316468152,20.07445,3052.790342142436,3058.171,-52.989,-81.68359,347.5
324,21.29375431958662,20.42111,2950.1526116222262,3242.6787,-55.921,-78.46345,413.0
366,21.105610091638077,23.040466,3623.8199322794944,4611.2144,-87.152,-38.810974,420.5
555,21.41242955527953,20.616081,3781.5539189048654,3398.1475,-55.929,-74.6615,387.0
1550,21.60676773712823,21.64094,4221.688454260491,3970.7917,-103.166,-59.903168,451.0
1691,19.82339255675341,21.093452,3119.772542497633,3616.092,-81.15,-66.4262,457.0
414,23.048715599913887,24.31206,4976.2824305961285,5430.2734,-37.065,-19.619247,390.0
1364,21.318576186889093,21.061384,3401.125415010575,3568.0994,-59.03,-68.48847,369.5
99,21.48719449324905,20.540018,4440.632060412923,3412.39,-64.59,-77.67721,610.5
1383,21.10807385768758,21.810072,3231.3788419550538,3986.9834,-108.32,-55.79603,399.0
1228,20.79768538715198,20.257883,3031.81379194526,3154.331,-58.15,-79.02894,349.5
1026,24.98995601426438,22.128756,5721.923956090204,4149.8135,-0.15,-51.084175,387.5
1435,20.142346643834944,20.690088,3206.5339488016484,3396.9988,-84.0,-73.27038,456.0
237,21.22313403478449,20.702356,2774.405501814363,3379.0408,-39.639,-72.49055,267.0
289,21.0868670489811,21.081478,3262.403873498056,3661.5474,-61.291,-68.14463,366.5
1083,25.23379977561245,23.973082,5130.159587190734,5130.7,0.0,-23.792595,308.0
1746,20.142346643834944,20.504213,3206.5339488016484,3281.7769,-84.0,-75.95626,456.0
382,23.664726189842582,22.420055,6168.567899503724,4387.149,-22.184,-50.03017,440.0
806,20.93641613900487,21.46174,3596.0806896641952,3796.7932,-83.024,-62.199932,399.5
1477,20.869364861096884,20.844946,3433.5481157050244,3486.9714,-76.951,-72.05024,421.5
1659,20.0764006067716,21.618685,3130.6867958384246,3876.3242,-83.0,-58.68753,449.0
1073,23.820334890427123,22.20691,5667.810903819751,4152.414,0.915,-49.95387,400.0
838,20.989122311783504,20.943386,4110.821284617921,3635.1475,-78.775,-72.14625,423.0
1871,22.11287594056832,23.494791,4962.070875402169,4909.137,0.0,-30.123436,401.0
297,20.65220806097662,20.53196,2403.9218629367138,3272.2058,-39.7,-75.02744,270.0
1261,20.767912961899565,22.34978,3366.885974677754,4218.845,-73.15,-47.46715,397.5
1863,20.788912537947677,20.686573,3047.47137057762,3388.8252,-58.15,-73.21686,351.0
1313,26.53598072325337,23.810331,6493.301475168675,5026.015,0.0,-26.135311,357.0
677,20.87753903817701,21.052956,2511.9591554999947,3554.4456,-116.0,-67.386856,355.5
1347,20.76381436043404,21.817442,2545.604528878823,3903.7214,-60.301,-54.623177,317.5
1475,24.59966784100189,20.958815,7068.936235491721,3533.8318,0.0,-69.10716,304.5
1268,20.482162151859008,20.915398,3391.194365504492,3588.8423,-107.729,-72.145935,462.0
1896,22.85366361668636,23.840147,4857.259504554174,5085.315,-42.648,-25.27097,392.0
65,24.148246033520405,21.39511,5030.084633879027,3768.5396,-15.491,-62.26043,357.5
1058,21.632602741871622,21.780605,3287.3224493744374,3959.7896,-29.569,-56.353073,314.5
1393,20.80643521050536,21.236416,3020.761383498889,3656.7861,-58.15,-64.41763,348.0
1673,20.017132066477927,20.881075,3158.663204718302,3497.2605,-77.15,-69.87842,449.0
916,22.724235308609167,21.162268,4467.765723148766,3656.7932,-30.672,-68.36184,293.0
29,21.97633264455377,20.480658,2419.2340538051244,3199.921,-35.32,-75.48691,245.5
610,23.16815068868749,22.518589,5775.857406723403,4443.868,-30.247,-46.27115,451.5
1719,19.771446237055464,20.340353,3116.7561560258105,3222.4512,-81.15,-77.82048,459.0
707,18.81055445189812,20.669834,2158.7472074048937,3425.8894,-144.325,-74.06779,386.5
1298,22.015085151668863,21.415686,4381.142471950329,3858.597,-45.518,-62.849747,402.0
