,Name,SMILES,A,B,C,Tmin,Tmax,No.C,SMILES,Atom,Count Unique Atom,Pass Screen
54,"2,6-Dimethyl-6-octanol",CCC(C)(CCCC(C)C)O,24.55315562,6228.492677,-0.15,344,470,10,CCC(C)(CCCC(C)C)O,"[1, 6, 8]",3,TRUE
55,2-Methylbutane,CCC(C)C,20.58338379,2376.150384,-38.646,255,323,5,CCC(C)C,"[1, 6]",2,TRUE
56,Isobutyl amine,CC(C)CN,20.61216611,2494.254579,-66.329,255,289,4,CC(C)CN,"[1, 6, 7]",3,TRUE
57,2-Methyl-1-propanol,CC(C)CO,21.5177498,2740.951243,-106.48,303,401,4,CC(C)CO,"[1, 6, 8]",3,TRUE
58,2-Methylpropanal,CC(C)C=O,23.01829845,2727.361386,-49.322,286,347,4,CC(C)C=O,"[1, 6, 8]",3,TRUE
59,2-Butanol,CCC(C)O,22.10299785,3026.034303,-86.6,295,392,4,CCC(C)O,"[1, 6, 8]",3,TRUE
60,2-Buta,CCC(=O)C,21.04240413,2838.235463,-54.46,265,378,4,CCC(=O)C,"[1, 6, 8]",3,TRUE
61,1-Amino-2-propanol,CC(CN)O,25.68218217,6048.269341,-4.19,306,431,3,CC(CN)O,"[1, 6, 7, 8]",4,TRUE
62,Propionamide,CCC(=O)N,22.70139366,4469.105828,-92.898,381,498,3,CCC(=O)N,"[1, 6, 7, 8]",4,TRUE
63,Propanoic acid,CCC(=O)O,22.2092161,3674.465291,-70.364,373,438,3,CCC(=O)O,"[1, 6, 8]",3,TRUE
64,Propenoic acid,C=CC(=O)O,24.14824603,5030.084634,-15.491,300,415,3,C=CC(=O)O,"[1, 6, 8]",3,TRUE
65,N-Methylacetamide,CC(=O)NC,24.92755596,6431.81094,0,353,479,3,CC(=O)NC,"[1, 6, 7, 8]",4,TRUE
66,Methyl ethanoate,CC(=O)OC,21.28532686,2725.569975,-50.74,260,351,3,CC(=O)OC,"[1, 6, 8]",3,TRUE
67,Peroxyethanoic acid,CC(=O)OO,25.41109883,5321.27415,0,273,383,2,CC(=O)OO,"[1, 6, 8]",3,TRUE
68,"2,3-Dimethylbutane",CC(C)C(C)C,20.57327544,2595.934434,-44.154,254,348,6,CC(C)C(C)C,"[1, 6]",2,TRUE
69,2-Methylpropanoic acid,CC(C)C(=O)O,22.21918629,3695.331318,-82,344,446,4,CC(C)C(=O)O,"[1, 6, 8]",3,TRUE
70,2-Methylpropenoic acid,CC(=C)C(=O)O,23.24344522,4402.082181,-59.35,341,438,4,CC(=C)C(=O)O,"[1, 6, 8]",3,TRUE
71,Camphene,CC1(C2CCC(C2)C1=C)C,22.33383201,4299.508923,-36.143,323,434,10,CC1(C2CCC(C2)C1=C)C,"[1, 6]",2,TRUE
72,(E)-2-Methyl-2-butenoic acid,C/C=C(\C)/C(=O)O,21.58166956,3524.336743,-121.15,373,474,5,C/C=C(\C)/C(=O)O,"[1, 6, 8]",3,TRUE
73,"1,3-Dimethyl-2-imidazolidi",CN1CCN(C1=O)C,20.823175,3805.758693,-88.828,351,499,5,CN1CCN(C1=O)C,"[1, 6, 7, 8]",4,TRUE
74,Acenaphthene,C1CC2=CC=CC3=C2C1=CC=C3,21.5657587,4810.894651,-71.07,367,413,12,C1CC2=CC=CC3=C2C1=CC=C3,"[1, 6]",2,TRUE
75,3-Methylindole,CC1=CNC2=CC=CC=C12,24.02333079,6188.549733,-44.505,368,540,9,CC1=CNC2=CC=CC=C12,"[1, 6, 7]",3,TRUE
76,Phthalic anhydride,C1=CC=C2C(=C1)C(=O)OC2=O,20.02951997,3622.387724,-133.336,404,558,8,C1=CC=C2C(=C1)C(=O)OC2=O,"[1, 6, 8]",3,TRUE
77,Isopentyl salicylate,CC(C)CCOC(=O)C1=CC=CC=C1O,18.39394773,3468.489844,-113.642,287,328,12,CC(C)CCOC(=O)C1=CC=CC=C1O,"[1, 6, 8]",3,TRUE
78,Ethyl anthranilate,CCOC(=O)C1=CC=CC=C1N,20.82939198,3994.40949,-113.5,433,593,9,CCOC(=O)C1=CC=CC=C1N,"[1, 6, 7, 8]",4,TRUE
79,2-(2-Pentyl)phenol,CCCC(C)C1=CC=CC=C1O,21.0138751,3850.368977,-109.909,397,501,11,CCCC(C)C1=CC=CC=C1O,"[1, 6, 8]",3,TRUE
80,Phthalide,C1C2=CC=CC=C2C(=O)O1,22.57035355,5740.121286,-43.794,368,563,8,C1C2=CC=CC=C2C(=O)O1,"[1, 6, 8]",3,TRUE
81,"2,6-Dimethylaniline",CC1=C(C(=CC=C1)C)N,22.47389826,5058.090976,-29.256,317,491,8,CC1=C(C(=CC=C1)C)N,"[1, 6, 7]",3,TRUE
82,Diethyl (+)-tartrate,CCOC(=O)C(C(C(=O)OCC)O)O,24.72340876,7087.522702,-15.815,373,553,8,CCOC(=O)C(C(C(=O)OCC)O)O,"[1, 6, 8]",3,TRUE
83,"2,4,6-Trimethyl-aniline",CC1=CC(=C(C(=C1)C)N)C,24.2840525,5865.939141,-39.039,341,477,9,CC1=CC(=C(C(=C1)C)N)C,"[1, 6, 7]",3,TRUE
84,2-Ethylbutyric acid,CCC(CC)C(=O)O,25.12599274,5953.029817,-28.838,374,467,6,CCC(CC)C(=O)O,"[1, 6, 8]",3,TRUE
85,2-tert-Butylphenol,CC(C)(C)C1=CC=CC=C1O,21.8140004,4435.384469,-66.116,328,497,10,CC(C)(C)C1=CC=CC=C1O,"[1, 6, 8]",3,TRUE
86,3-Methyl-6-tert-butylphenol,CC1=CC(=C(C=C1)C(C)(C)C)O,21.82268114,4439.14459,-83.918,378,517,11,CC1=CC(=C(C=C1)C(C)(C)C)O,"[1, 6, 8]",3,TRUE
87,2-sec-Butylphenol,CCC(C)C1=CC=CC=C1O,20.89485448,3667.18682,-109.418,452,513,10,CCC(C)C1=CC=CC=C1O,"[1, 6, 8]",3,TRUE
88,p-Cymen-3-ol,CC1=CC(=C(C=C1)C(C)C)O,22.81111184,5029.025445,-58.598,339,514,10,CC1=CC(=C(C=C1)C(C)C)O,"[1, 6, 8]",3,TRUE
89,2-Ethylphenol,CCC1=CC=CC=C1O,21.02444397,3565.373415,-102.305,424,491,8,CCC1=CC=CC=C1O,"[1, 6, 8]",3,TRUE
90,2-Hydroxy-benzaldehyde,C1=CC=C(C(=C1)C=O)O,22.85955823,5009.246239,-27.593,306,470,7,C1=CC=C(C(=C1)C=O)O,"[1, 6, 8]",3,TRUE
91,2-Aminoanisole,COC1=CC=CC=C1N,25.18763294,6680.236846,-2.9,334,492,7,COC1=CC=CC=C1N,"[1, 6, 7, 8]",4,TRUE
92,2-Methoxyphenol,COC1=CC=CC=C1O,19.83856659,2873.036734,-133.807,361,479,7,COC1=CC=CC=C1O,"[1, 6, 8]",3,TRUE
93,1-Methylnaphthalene,CC1=CC=CC2=CC=CC=C12,21.09356757,4206.707836,-78.148,390,551,11,CC1=CC=CC2=CC=CC=C12,"[1, 6]",2,TRUE
94,1-Naphthol,C1=CC=C2C(=C1)C=CC=C2O,23.69182762,6514.395457,-19.82,414,556,10,C1=CC=C2C(=C1)C=CC=C2O,"[1, 6, 8]",3,TRUE
95,2-Phenylphenol,C1=CC=C(C=C1)C2=CC=CC=C2O,23.46603612,5713.871816,-70.966,435,548,12,C1=CC=C(C=C1)C2=CC=CC=C2O,"[1, 6, 8]",3,TRUE
96,"2,6-Toluene diisocyanate",CC1=C(C=CC=C1N=C=O)N=C=O,20.15883315,3469.090819,-124.909,373,474,9,CC1=C(C=CC=C1N=C=O)N=C=O,"[1, 6, 7, 8]",4,TRUE
97,Naphthalene,C1=CC=C2C=CC=CC2=C1,21.03176619,3995.583808,-70.82,418,613,10,C1=CC=C2C=CC=CC2=C1,"[1, 6]",2,TRUE
98,Quinoline,C1=CC=C2C(=C1)C=CC=N2,21.48719449,4440.63206,-64.59,519,702,9,C1=CC=C2C(=C1)C=CC=N2,"[1, 6, 7]",3,TRUE
99,2-Methylnaphthalene,CC1=CC2=CC=CC=C2C=C1,21.16858579,4237.378269,-74.755,387,547,11,CC1=CC2=CC=CC=C2C=C1,"[1, 6]",2,TRUE
100,2-Naphthalenamine,C1=CC=C2C=C(C=CC2=C1)N,22.77206,5996.645384,-46.07,388,579,10,C1=CC=C2C=C(C=CC2=C1)N,"[1, 6, 7]",3,TRUE
101,6-Methylquinoline,CC1=CC2=C(C=C1)N=CC=C2,20.83530963,4017.430736,-106.755,453,541,10,CC1=CC2=C(C=C1)N=CC=C2,"[1, 6, 7]",3,TRUE
102,2-Methylquinoline,CC1=NC2=CC=CC=C2C=C1,21.43573172,4291.366982,-87.925,443,522,10,CC1=NC2=CC=CC=C2C=C1,"[1, 6, 7]",3,TRUE
103,"1,2-Benzopyrone",C1=CC=C2C(=C1)C=CC(=O)O2,23.70188991,6400.935577,-38.741,379,564,9,C1=CC=C2C(=C1)C=CC(=O)O2,"[1, 6, 8]",3,TRUE
104,"N,N-Diethylaniline",CCN(CC)C1=CC=CC=C1,23.23071193,5364.424595,-30.394,322,489,10,CCN(CC)C1=CC=CC=C1,"[1, 6, 7]",3,TRUE
