,Name,SMILES,A,B,C,Tmin,Tmax,No.C
1627,5-Methyl-2-heptanol,CCC(C)CCC(C)O,20.7534297,3131.055209,-105.65,344,451,8
1628,4-Methyl-2-heptanol,CCCC(C)CC(C)O,20.40389728,2849.449053,-123.85,346,451,8
1629,"2,5-Dimethyl-3-(1-methylethyl)-3-hexanol",CC(C)CC(C(C)C)(C(C)C)O,20.43198882,3257.006614,-104.85,321,458,11
1630,"2,2,3-Trimethyl-1-pentanol",CCC(C)C(C)(C)CO,25.89487196,6433.42275,0,352,450,8
1631,"3,3-Dimethylcyclopentene",CC1(CCC=C1)C,20.59008432,2809.844589,-51.15,278,403,7
1632,2-Propyl-1-pentanol,CCCC(CCC)CO,26.70561217,6861.703577,0,359,454,8
1633,"(Z)-2,3-Dimethyl-3-hexene",CC/C=C(/C)\C(C)C,20.78891254,3047.471371,-58.15,289,413,8
1634,2-Undecyne,CCCCCCCCC#CC,21.43591592,4112.416976,-64.15,361,510,11
1635,3-Undecyne,CCCCCCCC#CCC,21.41643605,4045.158466,-64.15,357,503,11
1636,"4-(1,1-Dimethylethyl)-heptane",CCCC(CCC)C(C)(C)C,19.93421598,3061.816476,-83,447,447,11
1637,"2,2,4,4,5-Pentamethylhexane",CC(C)C(C)(C)CC(C)(C)C,19.82122813,3085.786387,-77.15,449,449,11
1638,"2,2,3,3,4,4-Hexamethylpentane",CC(C)(C)C(C)(C)C(C)(C)C,19.50167537,3038.698521,-86.15,467,467,11
1639,"3,3-Diethyl-2,2-dimethylpentane",CCC(CC)(CC)C(C)(C)C,19.75873597,3104.943894,-85,462,462,11
1640,2-Methyl-1-heptanol,CCCCCC(C)CO,19.13655445,2307.420522,-145.55,345,455,8
1641,"2,4,6-Trimethyl-4-heptanol",CC(C)CC(C)(CC(C)C)O,24.41477026,5869.289402,0,338,455,10
1642,"3,4-Dimethyl-1-pentyne",CC(C)C(C)C#C,20.76931754,2773.003227,-53.15,264,377,7
1643,"2-Butyl-4,7-dihydro-1,3-dioxepine",CCCCC1OCC=CCO1,24.68857065,6381.893198,6.503,293,373,9
1644,"2-Ethyl-1,3,4-trimethylbenzene",CCC1=C(C=CC(=C1C)C)C,19.58173625,2866.971725,-120.444,347,488,11
1645,1-Methyl-1-(1-methylethyl)cyclo-pentane,CC(C)C1(CCCC1)C,20.19187525,3077.658261,-66,421,421,9
1646,trans-1-Methyl-2-(1-methylethyl)cyclo-pentane,C[C@@H]1CCC[C@H]1C(C)C,20.09380815,2982.837807,-66,414,414,9
1647,cis-1-Methyl-3-(1-methylethyl)cyclo-pentane,C[C@H]1CC[C@H](C1)C(C)C,20.09772254,2992.784975,-66,415,415,9
1648,trans-1-Methyl-3-(1-methylethyl)cyclo-pentane,C[C@H]1CC[C@@H](C1)C(C)C,20.09772254,2992.784975,-66,415,415,9
1649,"(E)-2,4-Dimethyl-3-hexene",CC/C(=C/C(C)C)/C,20.82135596,2998.19605,-58.15,285,406,8
1650,2-(1-Methylethyl)-1-pentene,CCCC(=C)C(C)C,20.80406355,3031.123016,-58.15,288,411,8
1651,3-Ethyl-4-methyl-1-pentene,CCC(C=C)C(C)C,20.82066519,2997.505274,-58.15,285,406,8
1652,cis-1-Methyl-2-(1-methylethyl)cyclo-pentane,C[C@@H]1CCC[C@@H]1C(C)C,20.12079445,3052.421929,-66,421,421,9
1653,"3-Ethyl-2,3-dimethylheptane",CCCCC(C)(CC)C(C)C,19.94939001,3134.739346,-84,456,456,11
1654,"4-Ethyl-2,3-dimethylheptane",CCCC(CC)C(C)C(C)C,20.066062,3143.995738,-84,452,452,11
1655,"5-Ethyl-2,3-dimethylheptane",CCC(CC)CC(C)C(C)C,20.08498925,3150.949545,-83,451,451,11
1656,"3-Ethyl-2,4-dimethylheptane",CCCC(C)C(CC)C(C)C,20.066062,3143.995738,-84,452,452,11
1657,"4-Ethyl-2,4-dimethylheptane",CCCC(C)(CC)CC(C)C,19.91692356,3021.958728,-83,443,443,11
