,Name,Actual,Predict
172,CC1=CCC(CCC1)(C)C,438.15,422.27969404522946
173,CC1CCC(C=C1)C(C)C,440.15,440.15
174,CC1CCC(=CC1)C(C)C,440.65,440.65
175,CC1=CCC(CC1)C(C)C,446.15,446.9
176,CC1CCC(=C(C)C)CC1,446.15,446.15
177,CC1CCCC(=C(C)C)C1,447.15,433.18560772575154
178,CC1=CCC(CC1)C(C)C,447.65,446.9
179,CCCCCC1=CCCC1,452.15,452.15
180,C1CCCCC=CCCC1,468.15,468.15
181,CCCCCCCCC=C,443.65,443.65
182,CCCC/C=C/CCCC,444.15,444.15
183,CCCC/C=C\CCCC,444.15,444.15
184,CC1CCC2(C1C2)C(C)C,430.15,430.15
185,CC1C2CCC(C2)C1(C)C,439.15,428.4656078052093
186,CC1CCC2C(C1)C2(C)C,442.15,442.15
187,C1CCC2CCCCC2C1,428.65,448.79999999999995
188,C1CCC2CCCCC2C1,460.45,448.79999999999995
189,C1CCC2CCCCC2C1,468.95,448.79999999999995
190,CC1CCC(CC1)C(C)C,443.85,443.85
191,CC(C)(C)C1CCCCC1,444.65,444.65
192,CC(C)CC1CCCCC1,444.45,435.4583643824937
193,CCC(C)C1CCCCC1,452.45,452.45
194,CCCC1CCCCC1C,449.15,449.15
195,CCCCC1CCCCC1,454.05,454.05
196,C1CCCCCCCCC1,475.15,475.15
197,CC(C(C)(C)C)C(C)(C)C,432.45,432.45
198,CC(C)C(C)(C)C(C)(C)C,439.25,439.25
199,CC(C)(C)CCC(C)(C)C,410.55,418.54464501887986
200,CC(C)C(C)CC(C)(C)C,421.05,421.05
201,CC(C)CC(C)C(C)(C)C,421.55,421.55
202,CC(C)CC(C)(C)C(C)C,426.25,426.25
203,CCC(C)(C)CC(C)(C)C,426.95,426.95
204,CC(C)C(C)C(C)C(C)C,429.35,424.11825320969706
205,CCC(C)C(C)C(C)(C)C,430.15,430.15
206,CC(C)C(C(C)C)C(C)C,430.25,430.25
207,CCCC(C)(C)C(C)(C)C,433.45,433.45
208,CCC(C)(C)C(C)C(C)C,434.75,434.75
209,CCCCCC(C)(C)C,405.85,411.930135761875
210,CCC(C)C(C)(C)C(C)C,437.75,416.0275775755398
211,CCC(C)(CC)C(C)(C)C,442.65,442.65
212,CC1=CC2=CC=CC=C2C=C1,514.25,514.25
213,CC1=CC=CC2=CC=CC=C12,517.85,517.85
214,CCC(C)(C)C(C)(C)CC,443.15,443.15
215,CCC(CC)CC(C)(C)C,420.15,420.15
216,CCCC(C)CC(C)C,406.05,406.05
217,CC(C)CC(C)CC(C)C,420.75,420.75
218,CCCC(C)CC(C)(C)C,421.45,421.45
219,CC(C)CCCC(C)(C)C,422.05,422.05
220,CCC(C)CCC(C)(C)C,423.95,423.95
221,CCCC(C)(C)CC(C)C,424.15,424.15
222,CCC(C)(C)CCC(C)C,425.95,425.95
223,CCC(CC(C)C)C(C)C,427.25,427.25
224,CCC(C)CC(C)(C)CC,428.85,428.85
225,CC(C)CCC(C)C(C)C,429.15,429.15
226,CC1(CCC2=CC=CC=C21)C,464.15,464.15
227,CCCC(CC)C(C)(C)C,429.25,423.54351706582935
228,CC1=CC2=C(CCCC2)C=C1,507.15,476.83075714567593
229,CC1=C2CCCCC2=CC=C1,507.15,507.15
230,CCC1=CC(=CC=C1)C(C)C,465.15,465.15
231,CCC(C)C(C)CC(C)C,429.65,429.65
232,CCC1=CC=C(C=C1)C(C)C,469.75,469.75
233,CCCC(C)C1=CC=CC=C1,472.15,472.15
234,CCCCC/C=C/CCCC,465.15,466.15
235,CCCCC(C)C(C)(C)C,430.95,423.1056316073326
236,CCCCC/C=C\CCCC,465.45,465.6
237,CCCCCCCC/C=C/C,465.65,465.65
238,CCCCCC/C=C\CCC,465.75,465.6
239,CCCCCCCCCC=C,465.85,465.85
240,CCCCCC#CCCCCC,483.15,483.15
241,CCCCCCCCCCC#C,488.15,488.15
242,C1=CC2=C3C(=C1)C=CC3=CC=C2,553.15,553.15
243,C1CC2=CC=CC3=C2C1=CC=C3,552.15,552.15
244,C=C,169.45,226.56778870408394
245,CC=C,225.55,225.55
246,C=C=C,238.75,238.75
247,CC=C=C,284.05,284.05
248,CCC#C,281.15,281.15
249,CC#CC,300.05,295.9990268723279
250,CC1CC1,273.85,273.85
251,C1CCC1,285.75,285.75
252,CC(=C)C,266.25,266.25
253,CCC=C,266.95,266.95
254,CC(C)(C)C,282.55,282.55
255,CC(=C)C=C,307.15,307.15
256,CC(=C=C)C,313.98,313.98
257,CC(C)C=C,293.25,293.25
258,CCC(=C)C,304.35,304.35
259,CC=C(C)C,311.65,311.65
260,CCC(C)C,300.95,300.95
261,C=CCC=C,299.15,299.15
262,C/C=C/C=C,315.15,315.15
263,CC=CC=C,315.15,315.15
264,C/C=C\C=C,317.25,301.6710613689321
265,CCC=C=C,318.05,318.05
266,CCC(C)(C)C,322.85,322.85
267,CC=C=CC,321.35,321.35
268,CCCC=C,303.05,305.6
269,CCCC=C,308.15,305.6
270,CC/C=C/C,309.45,309.45
271,CC/C=C\C,310.05,310.05
272,CCCCC,309.15,316.57416399685746
273,CC(C)C(C)C,331.05,331.05
274,CC(=C)C1CC1,343.15,326.2911268923128
275,CC1CC1(C)C,327.15,316.2609703743753
276,CCC1(CC1)C,329.95,329.95
277,CC(C)C1CC1,331.45,331.45
278,CC(=C)CC=C,329.15,329.15
279,CCC(=C=C)C,343.15,343.15
280,CC(C)C=C=C,343.15,343.15
281,CC=C=C(C)C,345.15,321.81974448020645
282,CCC(=C)C=C,348.15,348.15
283,C/C=C(/C)\C=C,349.15,349.15
284,CC(=CC=C)C,349.65,349.65
285,CC=C(C)C=C,350.15,350.15
286,CC(C)CC=C,327.05,327.05
287,CCC(C)C=C,327.35,327.35
288,C/C=C\C(C)C,329.45,329.45
289,C/C=C/C(C)C,331.75,322.97092629193423
290,CCCC(=C)C,335.25,335.25
291,CCC(=C)CC,337.85,332.12273174636516
292,CCC=C(C)C,340.45,340.45
293,CC/C(=C\C)/C,340.85,340.85
294,CC/C(=C/C)/C,343.55,343.55
295,CCCC(C)C,333.35,333.35
296,CCC(C)CC,336.35,342.1837248948455
297,C1CC=CC=C1,353.65,353.65
298,C1C=CCC=C1,358.65,358.65
299,CC1CCC=C1,338.05,338.05
300,CC1CCC(C1)C,363.95,364.4
301,CC1CC=CC1,338.85,346.4576199701741
302,CC1=CCCC1,348.65,348.65
303,C=C1CCCC1,348.65,348.65
304,C1CCC=CC1,356.05,358.56000658641545
305,CC1CCC1C,331.15,331.15
306,CCCC1CC1,342.25,342.25
307,CCC1CCC1,343.95,343.95
308,CC1CCCC1,344.95,344.95
309,C1CCCCC1,353.85,353.85
310,C=CC=CC=C,351.15,351.65
311,CC1CCC(C1)C,364.85,364.4
312,C=CC=CC=C,351.65,351.65
313,C1C=CC=CC=C1,390.15,390.15
314,C=C1CCCCC1,375.65,375.65
315,C=CCCC=C,332.55,332.55
316,C/C=C/CC=C,338.15,338.15
317,CC=CCC=C,338.15,338.15
318,C/C=C\CC=C,339.45,339.45
319,CCC1CCC=C1,370.95,370.95
320,CC/C=C\C=C,346.25,346.25
321,CC1CCC=C1C,372.15,372.15
322,CC1CCC=CC1,375.85,364.2382203168412
323,CC/C=C/C=C,346.35,346.35
324,CCC=CC=C,346.65,346.65
325,CC1CCCC=C1,376.15,352.7530932626073
326,CCCC=C=C,349.15,349.15
327,CCC1=CCCC1,379.45,379.45
328,CC1=CCCCC1,383.45,369.65457258853417
329,C1CCC=CCC1,388.15,388.15
330,CCC=C=CC,351.15,351.15
331,CC=C1CCCC1,388.15,388.15
332,CC=CC=CC,353.15,351.4754519445315
333,CC1CCCC1C,365.05,368.85
334,CC1CCCC1C,372.65,368.85
335,CC1CCCCC1,374.05,374.05
336,CCC1CCCC1,376.65,376.65
337,C1CCCCCC1,391.55,391.55
338,CC(=C)C(C)(C)C,351.05,351.05
339,CC(C)C(C)(C)C,353.95,353.95
340,CC(=CC(=C)C)C,366.35,366.35
341,CC(C)(C)CC=C,345.65,345.4813157823963
342,C/C=C/C(C)(C)C,349.85,349.85
343,CCC(C)(C)C=C,350.65,350.65
344,C/C=C\C(C)(C)C,353.55,353.55
345,CC(C)C(C)C=C,353.95,353.95
346,CC(C)CC(=C)C,354.75,348.27969082935414
347,CC(C)C=C(C)C,356.55,356.55
348,CCC(C)C(=C)C,357.45,357.45
349,CCC(=C)C(C)C,362.15,362.15
350,CC=C(C)C(C)C,362.15,362.15
351,C/C=C(/C)\C(C)C,362.45,362.45
352,C/C=C(\C)/C(C)C,364.65,345.4071445883207
353,CCC(=C(C)C)C,370.65,370.65
354,CCCC(C)(C)C,352.35,352.35
355,CC(C)CC(C)C,353.55,353.55
356,CCC(C)(C)CC,359.15,359.15
357,CCC(C)C(C)C,362.85,360.74411138558656
358,CC(=C)CCC=C,361.25,361.25
359,CCCC(C)C=C,357.05,357.05
360,CCC(CC)C=C,357.25,357.25
361,CC(C)CCC=C,358.45,358.45
362,CC/C=C/C(C)C,359.05,359.05
363,CC/C=C\C(C)C,359.15,359.15
364,CCC(C)/C=C\C,359.45,359.45
365,CCC/C=C\CCC,395.65,395.65
366,CCCC/C=C\CC,396.05,396.05
367,CCC(C)CC=C,359.85,359.85
368,CCC(C)/C=C/C,360.75,342.0036643572208
369,CCCC/C=C/CC,396.45,396.45
370,CCCCC/C=C/C,398.15,398.15
371,CCCCC/C=C\C,398.75,388.96095624380644
372,C/C=C/CC(C)C,361.25,361.25
373,C1CC2CCCC2C1,412.15,412.15
374,C/C=C\CC(C)C,362.65,362.65
375,CCCCC(=C)C,365.15,365.15
376,CC1CCC(C1)(C)C,378.05,386.6922137419372
377,CCCC(=C)CC,367.15,367.15
378,CC1CC(C(C1)C)C,389.95,389.95
379,CC1CCCC1(C)C,387.15,387.15
380,CC1CCC(CC1)C,392.55,392.55
381,CCCC=C(C)C,368.55,368.55
382,CC1(CCCCC1)C,392.75,397.63364912396725
383,CC1CCCC(C1)C,393.25,395.45
384,CCC1CCC(C1)C,394.15,394.15
385,CCC1CCC(C1)C,394.15,394.15
386,CCC1(CCCC1)C,394.75,394.75
387,CC1CCC(C1C)C,396.15,396.15
388,CC1CCCC(C1)C,397.65,395.45
389,CC(C)C1CCCC1,399.65,399.65
390,CC1CCCCC1C,396.65,399.79999999999995
391,CC1CCCCC1C,402.95,399.79999999999995
392,CCCC1CCCC1,404.15,404.15
393,CCC1CCCCC1,405.05,405.05
394,CCC/C(=C\C)/C,368.75,368.75
395,CCC(=CC)CC,369.15,356.8997501344883
396,C1CCCCCCC1,422.15,434.4953051208692
397,CC(C)(C)C(C)(C)C,379.55,379.55
398,CCCCC(C)C,363.15,375.86301653939563
399,CC(C)CC(C)(C)C,372.35,372.35
400,CCC(C)C(C)(C)C,383.15,383.15
401,CC(C)C(C)C(C)C,386.65,386.65
402,CCC(C)(C)C(C)C,387.95,387.95
403,CC(C)CCC(C)C,382.25,382.25
404,CCC(C)CC(C)C,382.65,397.9402186620722
405,CCCC(C)(C)CC,385.05,385.05
406,CCC(CC)C(C)C,388.75,388.75
407,CCCC(C)C(C)C,388.75,388.75
408,CCC(C)C(C)CC,390.85,390.85
409,CCCC(C)CC,364.15,364.15
410,CCC(C)(CC)CC,391.35,408.2989158753155
411,CCCCCC(C)C,390.75,390.75
412,CCCC(C)CCC,390.85,390.85
413,CCC(CC)CC(C)C,406.95,406.95
414,CCCCC(C)CC,391.15,391.15
415,CC(C)CCCC(C)C,408.35,408.35
416,CCCC(C)(C)CCC,408.35,408.35
417,CCC(C)CC(C)CC,409.15,409.15
418,CCC(C)CCC(C)C,409.15,409.15
419,CC1CCCC(C1)(C)C,409.75,409.75
420,CCCC(CC)CC,391.75,391.75
421,CCCCC(C)(C)CC,410.45,416.42187479995425
422,CCCC(CC)C(C)C,411.15,411.15
423,CC1CC(CC(C1)C)C,411.65,411.65
424,CCC(C)C(CC)CC,413.15,413.15
425,CCCCC(C)C(C)C,413.65,413.65
426,CCCC(C)(CC)CC,413.75,413.75
427,CCCC(C)C(C)CC,413.75,413.75
428,CC1CCC(C(C1)C)C,416.05,416.05
429,CCC(CC)(CC)CC,419.45,419.45
430,CC1(C2CC3C1C3C2)C,411.15,411.15
431,CCCC(CC)CCC,414.35,414.35
432,CCCCC(C)CCC,415.55,415.55
433,CCCCC(CC)CC,416.15,416.15
434,CCCCCCC(C)C,416.35,416.35
435,CCCCCC(C)CC,417.35,417.35
436,CCCCCCCC,398.75,398.75
437,CC1CCCCC1(C)C,418.35,418.35
438,CCCCC(C)(C)C(C)C,433.35,433.35
439,CCC(C)CC(C)C(C)C,433.85,433.85
440,CCCC(C)C(C)C(C)C,434.15,434.15
441,CCC(C)(CC)CC(C)C,434.25,434.25
442,CCCC(C)(C)C(C)CC,434.25,425.06299035447717
443,CCCC(C)C(C)(C)CC,435.05,435.05
444,CCC(C)C(CC)C(C)C,435.15,435.15
445,CCC(CC)C(C)C(C)C,435.15,435.15
446,CCC(C)C(C)(CC)CC,435.25,435.25
447,CCC(C)C(C)C(C)CC,435.65,435.65
448,CCC(CC)C(C)(C)CC,436.05,436.05
449,CCCC(C)(CC)C(C)C,439.15,439.15
450,CCC(CC)(CC)C(C)C,445.15,445.15
451,CCCCCCC(C)(C)C,428.15,430.28656281296657
452,CC(C)CC1CCCC1,421.15,421.15
453,CCCCC(C)CC(C)C,429.15,424.270633886187
454,CCCCC(C)(C)CCC,430.65,430.65
455,CCCC(CC)CC(C)C,431.15,431.15
456,CCC(C)CC(CC)CC,431.35,431.35
457,CCCC(C)CCC(C)C,431.65,431.65
458,CCCC(CCC)C(C)C,432.05,432.05
459,CCCC(C)CC(C)CC,432.55,432.55
460,CCC(CC)CCC(C)C,432.85,423.533990666553
461,CC(C)CCCCC(C)C,433.05,433.05
462,CCC(C)CCCC(C)C,433.55,433.55
463,CCC(C)CCC(C)CC,433.95,433.95
464,CCC1(CCCCC1)C,425.35,425.35
465,CCCC(C)(CC)CCC,433.95,433.95
466,CC1=CC2=C(C=C1)C=C(C=C2)C,535.15,535.15
467,CCCCCC(C)(C)CC,434.35,422.9249577862133
468,CCC1CCC(CC1)C,425.75,425.75
469,CCCC(C)C(C)CCC,435.3,435.3
470,CCCCCC/C=C/CCC,466.15,466.15
471,CCCCCCCC=CCC,466.65,466.65
472,CCCCCCCC/C=C\C,469.25,469.25
473,C1CCC2(CC1)CCCCC2,480.15,480.15
474,C1CCC(CC1)C2CCCC2,488.25,488.25
475,CC(C)CCC1CCCCC1,469.65,469.65
476,CCCCCCC1CCCC1,476.15,476.5
477,CCCCCC1CCCCC1,476.85,476.5
478,CCCCC(CC)C(C)C,436.15,436.15
479,CCCCC(C)C(C)CC,436.55,428.0472536252446
480,CCCCC(C)(CC)CC,436.95,436.95
481,CC(C)CCC(C)CC(C)C,441.25,441.25
482,CCCCC(C)CC(C)(C)C,441.65,428.97361176887523
483,CCC(CC)C(CC)CC,437.05,437.05
484,CCCCCC(C)C(C)C,437.45,437.45
485,CCCC(C)C(CC)CC,438.15,438.15
486,CCCC(CC)C(C)CC,438.15,438.15
487,CCCC(CC)(CC)CC,439.45,426.6562035637406
488,CCCC(CCC)CCC,430.65,429.8041185389591
489,CC1=CC2=C(C=C1)C=CC(=C2)C,538.15,535.15
490,CCCCC(CC)CCC,436.85,436.85
491,CCCCC(C)CCCC,438.25,438.55
492,CC1=C(C2=CC=CC=C2C=C1)C,539.65,539.65
493,CC1=C2C(=CC=CC2=CC=C1)C,543.15,543.15
494,CCCCCC(C)CCC,438.85,438.55
495,CCC1=CC2=CC=CC=C2C=C1,531.15,518.6685045992213
496,CCCCCCC(C)CCC,460.15,460.15
497,CCCCCCCC(C)CC,461.25,461.25
498,CCC1=CC=CC2=CC=CC=C21,531.75,531.75
499,CCCCCCCCC(C)C,462.45,453.0188400564507
500,CCCCCCCCCCC,469.05,469.05
501,CC1=CC2=CC=CC=C2C=C1C,541.15,541.15
502,C1CC=CCCC=CCCC=C1,513.15,513.15
503,C=CCCCCCCCCC=C,481.65,481.65
504,CC(=CC(CC(C)(C)C)(C)C)C,453.15,453.15
505,CCCCCCCCCCC=C,486.95,486.95
506,C1CCC(CC1)C2CCCCC2,511.15,475.6957129258559
507,CCCCCCC1CCCCC1,497.15,497.15
508,C1CCCCCCCCCCC1,520.15,520.15
509,CCCCCC1CCCCC1C,490.65,490.65
510,C#C,188.45,188.45
511,CC#C,249.95,249.95
512,C=CC#C,278.25,278.25
513,C/C=C/C,273.95,273.95
514,C/C=C\C,276.85,276.85
515,CC(C)C#C,299.45,299.45
516,C#CC#C,283.45,283.45
517,C/C=C/C=C/C,355.35,339.4216575033651
518,CCCC#C,313.25,320.08911401383193
519,CCC#CC,329.25,329.25
520,C/C=C/C=C\C,356.65,356.65
521,C/C=C\C=C/C,358.15,358.15
522,CCC(CC)CC,366.65,366.65
523,CCCCC=C,336.55,336.55
524,CC/C=C\CC,339.55,354.29005244205166
525,CC=CCCC=C,367.15,367.15
526,CC/C=C/CC,340.25,340.25
527,CCCCC=C=C,378.65,346.98091370887676
528,CCC/C=C/C,341.05,341.05
529,CCC=CC=CC,381.15,381.15
530,CCC/C=C\C,341.95,341.95
531,CCCCCC,341.85,360.68066567977013
532,CCCCCC=C,366.75,366.75
533,CCC/C=C/CC,368.85,368.85
534,CCC/C=C\CC,368.95,368.95
535,CCCC/C=C/C,371.15,371.15
536,CCCC/C=C\C,371.55,371.55
537,CCCCCCC,371.65,371.65
538,CCCCCCC#C,399.45,399.45
539,CC(C)C1CCCCC1,427.95,427.95
540,CCCC#CCCC,404.75,404.75
541,CCCCC#CCC,406.25,398.5531943354545
542,CCCCCC#CC,410.75,410.75
543,C1CC2CCCC(C1)C2,442.65,442.65
544,CCCCCCCCC,423.95,423.95
545,CCC1CCCCC1C,424.85,424.85
546,CCC1CCCCC1C,429.15,424.85
547,CCCCC1CCCC1,429.75,429.75
548,CCCC1CCCCC1,429.85,429.75
549,CCCCCC(CC)CC,439.65,439.65
550,CCCCCCCC(C)C,440.25,440.25
551,CCCCCCC(C)CC,441.05,441.05
552,C1CCC2CCCC2C1,440.15,440.15
553,CCCCCCCCCC#C,469.15,467.2624070592351
554,CCCCCC#CCCCC,471.15,471.15
555,CCCCCCC#CCCC,471.65,471.15
556,CCCCCCCCCC,447.25,455.85665591128264
557,CCCCCCCCC#CC,477.35,477.35
558,CCCCCCCC1CCCC1,497.15,497.15
559,CCCCCCCCCCCC,489.45,489.45
