,Name,Actual,Predict
304,C1CCC=CC1,356.05,350.3156
305,CC1CCC1C,331.15,338.38632
306,CCCC1CC1,342.25,342.06778
307,CCC1CCC1,343.95,342.6028
308,CC1CCCC1,344.95,342.69382
309,C1CCCCC1,353.85,350.19443
310,C=CC=CC=C,351.15,351.79153
311,CC1CCC(C1)C,364.85,367.71457
312,C=CC=CC=C,351.65,351.79153
313,C1C=CC=CC=C1,390.15,388.71536
314,C=C1CCCCC1,375.65,377.15195
315,C=CCCC=C,332.55,337.1154
316,C/C=C/CC=C,338.15,336.39548
317,CC=CCC=C,338.15,340.38727
318,C/C=C\CC=C,339.45,336.7613
319,CCC1CCC=C1,370.95,370.63593
320,CC/C=C\C=C,346.25,342.72632
321,CC1CCC=C1C,372.15,366.28687
322,CC1CCC=CC1,375.85,371.94827
323,CC/C=C/C=C,346.35,342.13663
324,CCC=CC=C,346.65,348.8567
325,CC1CCCC=C1,376.15,370.63593
326,CCCC=C=C,349.15,348.68198
327,CCC1=CCCC1,379.45,377.49548
328,CC1=CCCCC1,383.45,377.89087
329,C1CCC=CCC1,388.15,387.54636
330,CCC=C=CC,351.15,348.5106
331,CC=C1CCCC1,388.15,377.98734
332,CC=CC=CC,353.15,347.884
333,CC1CCCC1C,365.05,369.21405
334,CC1CCCC1C,372.65,369.21405
335,CC1CCCCC1,374.05,374.08658
336,CCC1CCCC1,376.65,374.08658
337,C1CCCCCC1,391.55,384.9696
338,CC(=C)C(C)(C)C,351.05,352.70743
339,CC(C)C(C)(C)C,353.95,356.65936
340,CC(=CC(=C)C)C,366.35,363.91702
341,CC(C)(C)CC=C,345.65,347.72873
342,C/C=C/C(C)(C)C,349.85,353.3097
343,CCC(C)(C)C=C,350.65,352.77927
344,C/C=C\C(C)(C)C,353.55,354.34244
345,CC(C)C(C)C=C,353.95,355.4245
346,CC(C)CC(=C)C,354.75,357.5389
347,CC(C)C=C(C)C,356.55,362.1186
348,CCC(C)C(=C)C,357.45,360.54974
349,CCC(=C)C(C)C,362.15,360.54974
350,CC=C(C)C(C)C,362.15,362.88
351,C/C=C(/C)\C(C)C,362.45,362.24893
352,C/C=C(\C)/C(C)C,364.65,361.59674
353,CCC(=C(C)C)C,370.65,367.83902
354,CCCC(C)(C)C,352.35,353.9473
355,CC(C)CC(C)C,353.55,358.70325
356,CCC(C)(C)CC,359.15,359.93613
357,CCC(C)C(C)C,362.85,362.5273
358,CC(=C)CCC=C,361.25,361.0727
359,CCCC(C)C=C,357.05,358.4818
360,CCC(CC)C=C,357.25,358.72415
361,CC(C)CCC=C,358.45,357.4477
362,CC/C=C/C(C)C,359.05,361.74292
363,CC/C=C\C(C)C,359.15,361.30008
364,CCC(C)/C=C\C,359.45,361.29456
365,CCC/C=C\CCC,395.65,395.05362
366,CCCC/C=C\CC,396.05,396.2841
367,CCC(C)CC=C,359.85,359.00015
368,CCC(C)/C=C/C,360.75,361.74292
369,CCCC/C=C/CC,396.45,396.2714
370,CCCCC/C=C/C,398.15,396.3624
371,CCCCC/C=C\C,398.75,396.36957
372,C/C=C/CC(C)C,361.25,359.9413
373,C1CC2CCCC2C1,412.15,411.7649
374,C/C=C\CC(C)C,362.65,360.0871
375,CCCCC(=C)C,365.15,367.3875
376,CC1CCC(C1)(C)C,378.05,384.42944
377,CCCC(=C)CC,367.15,368.99094
378,CC1CC(C(C1)C)C,389.95,388.82065
379,CC1CCCC1(C)C,387.15,387.65225
380,CC1CCC(CC1)C,392.55,395.50665
381,CCCC=C(C)C,368.55,366.267
382,CC1(CCCCC1)C,392.75,393.9443
383,CC1CCCC(C1)C,393.25,395.07867
384,CCC1CCC(C1)C,394.15,395.07867
385,CCC1CCC(C1)C,394.15,395.07867
386,CCC1(CCCC1)C,394.75,394.76486
387,CC1CCC(C1C)C,396.15,389.24863
388,CC1CCCC(C1)C,397.65,395.07867
389,CC(C)C1CCCC1,399.65,396.13
390,CC1CCCCC1C,396.65,396.98755
391,CC1CCCCC1C,402.95,396.98755
392,CCCC1CCCC1,404.15,403.56635
393,CCC1CCCCC1,405.05,404.10138
394,CCC/C(=C\C)/C,368.75,365.70694
395,CCC(=CC)CC,369.15,366.377
396,C1CCCCCCC1,422.15,419.50995
397,CC(C)(C)C(C)(C)C,379.55,382.6477
398,CCCCC(C)C,363.15,364.46277
399,CC(C)CC(C)(C)C,372.35,375.08292
400,CCC(C)C(C)(C)C,383.15,380.53607
401,CC(C)C(C)C(C)C,386.65,386.0723
402,CCC(C)(C)C(C)C,387.95,385.6055
403,CC(C)CCC(C)C,382.25,384.92346
404,CCC(C)CC(C)C,382.65,385.1594
405,CCCC(C)(C)CC,385.05,384.93097
406,CCC(CC)C(C)C,388.75,388.11386
407,CCCC(C)C(C)C,388.75,388.45172
408,CCC(C)C(C)CC,390.85,389.02045
409,CCCC(C)CC,364.15,366.26437
410,CCC(C)(CC)CC,391.35,388.19836
411,CCCCCC(C)C,390.75,391.63806
412,CCCC(C)CCC,390.85,392.31625
413,CCC(CC)CC(C)C,406.95,409.54605
414,CCCCC(C)CC,391.15,393.5412
415,CC(C)CCCC(C)C,408.35,409.89954
416,CCCC(C)(C)CCC,408.35,409.1952
417,CCC(C)CC(C)CC,409.15,411.5402
418,CCC(C)CCC(C)C,409.15,409.97403
419,CC1CCCC(C1)(C)C,409.75,412.3313
420,CCCC(CC)CC,391.75,393.5412
421,CCCCC(C)(C)CC,410.45,410.8738
422,CCCC(CC)C(C)C,411.15,412.22833
423,CC1CC(CC(C1)C)C,411.65,413.46454
424,CCC(C)C(CC)CC,413.15,413.4311
425,CCCCC(C)C(C)C,413.65,412.83838
426,CCCC(C)(CC)CC,413.75,414.54834
427,CCCC(C)C(C)CC,413.75,413.34674
428,CC1CCC(C(C1)C)C,416.05,414.90347
429,CCC(CC)(CC)CC,419.45,416.5158
430,CC1(C2CC3C1C3C2)C,411.15,410.02225
431,CCCC(CC)CCC,414.35,417.07916
432,CCCCC(C)CCC,415.55,417.07916
433,CCCCC(CC)CC,416.15,418.3569
434,CCCCCCC(C)C,416.35,416.82635
435,CCCCCC(C)CC,417.35,418.4479
436,CCCCCCCC,398.75,401.68817
437,CC1CCCCC1(C)C,418.35,415.27283
438,CCCCC(C)(C)C(C)C,433.35,434.35553
439,CCC(C)CC(C)C(C)C,433.85,432.62747
440,CCCC(C)C(C)C(C)C,434.15,433.3371
441,CCC(C)(CC)CC(C)C,434.25,433.30176
442,CCCC(C)(C)C(C)CC,434.25,432.75345
443,CCCC(C)C(C)(C)CC,435.05,433.36697
444,CCC(C)C(CC)C(C)C,435.15,433.39746
445,CCC(CC)C(C)C(C)C,435.15,432.99924
446,CCC(C)C(C)(CC)CC,435.25,436.5536
