,SMILES,VP1,VP2,VP3,VP4,VP5
1773,CCCCCC(C(C)C)O,7.351748088116507,8.965080573459444,10.256903994365766,11.314616610468478,12.196571065038668
1774,CC(=CCC(C(=C)C)C(=O)C)C,7.580417917741034,9.130195719577992,10.361541069570883,11.363453014592084,12.194591206200714
1775,CC(C)(CC1CCCCC1)O,4.837167971199872,6.593372375255296,8.013653978228964,9.185981390739352,10.17007383014274
1777,CCCC(CC)CO,7.34750513740404,8.916590880383094,10.161241601317608,11.172652834513114,12.010769308126838
1779,CC=C1C[C@@H]2C[C@H]1C=C2,7.314574981294053,8.982762030724652,10.288593189695861,11.338565924956855,12.20116818015098
1780,C/C=C\1/CC2CC1C=C2,7.584196054554672,9.14651620492724,10.37909381617516,11.376356877738486,12.199820172560205
1781,CCCCC1=CC(=CC=C1)O,4.8353088009778595,7.086632433875337,8.877396877059411,10.335814468137391,11.546548929837394
1782,CC(=CCC[C@](C)(C#C)O)C,7.334611071561696,8.990628194086092,10.26780961678029,11.282807909045957,12.108840402826019
1783,CC[C@@H](C(=O)OC)O,9.034378666218458,9.777941368947687,10.432408286221145,11.012887815956086,11.53125511075127
1785,CC1=CC(=C(C(=C1)C)[C@H](C)O)C,7.600861966733852,9.134717545997157,10.361925491676358,11.366086372332138,12.202943248495341
1786,CCCCC(C)C(C)O,7.863330071337307,8.783593414537517,9.577763058124777,10.270093232140368,10.878992541333186
1787,CC1CCC(=O)OC1=O,5.865240302544795,7.5960269916122485,8.976777178654622,10.103926928696081,11.041467317667415
1788,CC(=O)OC1CCC(CC1)C(C)(C)C,8.802977416271254,9.679098193478529,10.439296213878972,11.105151087143392,11.693199160710474
1789,CCC(CO)C(C)C,7.754344141290643,8.77687708892558,9.645728219417318,10.393122377099427,11.042863541710611
1790,CC1CC(=O)CC(C1)(C)C,2.5252837054646378,3.7795614371483524,4.900325347318507,5.907816321371822,6.8183806569999525
1791,C1CC(=O)C1=O,5.551168574170372,7.610784886232956,9.205092850653404,10.475771989799682,11.51228271194114
1792,C/C=C\CC(=O)O,8.270597932646368,9.725662215464224,10.895840638966797,11.857339387580675,12.66140983374123
1793,CCCC1CCC=C1,8.29565937991375,9.738297163750715,10.90014387219815,11.855907624421345,12.655952775108801
1794,CC1C(=O)OC(=O)C1(C)C,3.2164519351269547,4.340395953523835,5.379465480828962,6.342924656643309,7.23873669883665
1795,CCCCCCCNC(=O)OC,7.394011909513344,8.480437984233943,9.400511484186358,10.189722906006825,10.874137401323262
1796,C=C1CCCCO1,5.550486642813919,6.713737612123126,7.7448161718345006,8.665038132890924,9.491369589932908
1797,CC(C)CC(CC(C)C)C(C)C,7.198675542074984,8.522560925810218,9.659006572940802,10.645188193850057,11.509060180134826
1798,CCC#CC(C)C,2.5705894634589477,5.986512507422702,8.38521657519047,10.162188684800652,11.531420699045842
1799,CCC/C(=C\C)/CC,4.861080180115078,7.095916229988788,8.87225369482356,10.318063559754917,11.517746646114672
1800,CC/C(=C\C(C)C)/C,5.676369192836177,7.331295489911096,8.724721017696524,9.914088413797892,10.94116396247802
1801,C/C(=C/C#N)/C#N,7.595456982688329,9.135318587767248,10.362036252204637,11.362314633037306,12.193553523062253
1802,CCCCCCC1CCC=C1,4.37472897156718,5.347455668598322,6.268854444679299,7.142883503118497,7.973104259117591
1803,CC(=O)OCCC(=O)OC,7.882053327320143,8.801469109168105,9.598431402052714,10.295876479728214,10.911349101247893
1804,CCC(C)CCCCCO,7.968592849245548,9.208552552588266,10.234628617984436,11.097767098085242,11.83392408510998
1805,CC1OCOO1,7.189469509835298,8.520995863002332,9.660490405998672,10.646701080509681,11.508608117920863
1806,CCCCNC(C)C,7.240964524621987,8.573943385126169,9.701626378717071,10.668049733837528,11.505495659271034
1807,CC1CCC=C1,7.609975664080592,9.13578922162169,10.357685629742358,11.358243713006718,12.192609711644462
1808,C/C=C(\C)/C(C)(C)C,8.328814206683203,9.781284372881279,10.954932914233893,11.923014206720351,12.735187638758354
1809,C/C=C\CC(C)(C)C,7.54960730611295,8.685936744727213,9.647014881889554,10.47048160193243,11.18391802800913
1810,C/C=C(/C)\C(C)(C)C,5.560122918091874,7.829344483219982,9.530419433529929,10.852979553858564,11.910713959791387
1811,C/C=C/CC(C)(C)C,7.1502800623495375,8.509925636003953,9.669719691603142,10.670709173932858,11.543420592350571
1812,CC(C)(C)CCCC(C)(C)C,7.163081533968803,8.517816737579528,9.671787944640222,10.666544573567323,11.532910704834636
1813,CCCC(C)C#C,4.795031775106139,7.16943509717164,8.97159176472665,10.386126634102935,11.525955361547286
1814,CCCCC(CC(C)C)O,6.456990385483067,6.754383089309663,7.043278858741214,7.324036719174693,7.596995750151688
1815,CCCCCCC1COCCC1O,6.475560674342194,8.065112896617624,9.400479966231892,10.538118022410053,11.518916657251031
1816,CCC(C)(OOC(C)(C)C)OOC(C)(C)C,5.372514455396601,6.938911230698466,8.27209756799013,9.420546768474637,10.420168858745166
1817,CC(COC1=CC=CC=C1)O,2.2249058762910323,5.714673928694346,8.198455226297051,10.056441286408525,11.49867750089201
1818,CC/C(=C/C)/C(C)C,7.1819393276409045,8.540473419891544,9.6921134645311,10.680777758246304,11.5387757171444
1819,CC/C(=C\C)/C(C)C,7.19134134783814,8.538044797579676,9.692564682749351,10.693299926844762,11.569058571219657
1821,CC/C=C\C(C)CC,7.574586654051096,9.11945535035104,10.350535272757103,11.354615877091156,12.189182072892606
1822,CCC(=O)COC,8.320937948352691,9.76072398204103,10.920756394899811,11.875350496040154,12.67464073110512
1823,CC1(CCC(C1)(C)C)C,7.600118654515988,8.679040180707037,9.603932545455706,10.405582462360748,11.10708444495688
1824,C/C=C/CCC(C)C,7.15407448752009,8.602745098973523,9.77161109097704,10.734597894357671,11.541696923798733
1825,CCCCCCCCOC(=O)C(C)O,7.19768490739073,8.540628745568425,9.685931792467134,10.674233718701347,11.535746910977881
