,Column1,Name,SMILES,A,B,C,Tmin,Tmax,No.C,Atom,Count Unique Atom,Pass Screen,Atom2,Func. Group
24,44,1-Propanol,CCCO,23.02564369728209,3483.673090594412,-67.343,293,360,3,"[1, 6, 8]",3,True,CHO,alcohol
25,45,1-Butanol,CCCCO,22.218334337827446,3212.4285666397136,-90.411,310,380,4,"[1, 6, 8]",3,True,CHO,alcohol
26,46,1-Pentanol,CCCCCO,21.636148722914832,3076.276710090975,-106.83,326,399,5,"[1, 6, 8]",3,True,CHO,alcohol
27,47,Benzene,C1=CC=CC=C1,20.68925665512289,2726.804160186897,-55.623,280,374,6,"[1, 6]",2,True,CH,aromatic
28,49,Methane,C,20.19067790493689,911.2342350418356,-6.469,92,118,1,"[1, 6]",2,True,CH,alkane
29,51,Ethane,CC,20.617462051923333,1528.271777922008,-16.469,133,198,2,"[1, 6]",2,True,CH,alkane
30,52,Ethene,C=C,20.524829053632185,1373.551875183366,-16.78,122,188,2,"[1, 6]",2,True,CH,alkene
31,53,Ethyne,C#C,19.972024424506174,1217.307661113162,-44.36,191,201,2,"[1, 6]",2,True,CH,alkyne
32,56,Methanamine,CN,21.97633264455377,2419.2340538051244,-35.32,203,288,1,"[1, 6, 7]",3,True,CHN,amine
33,62,Propane,CCC,20.55812443407688,1851.2715070119336,-26.11,248,270,3,"[1, 6]",2,True,CH,alkane
34,63,Propyne,CC#C,21.288665606531097,2153.1242946078023,-29.57,187,266,3,"[1, 6]",2,True,CH,alkyne
35,68,Ethanamine,CCN,21.72258776730583,2539.475047361273,-40.7,220,308,2,"[1, 6, 7]",3,True,CHN,amine
36,70,Ethanal,CC=O,21.140954772815533,2465.147600559425,-37.15,219,313,2,"[1, 6, 8]",3,True,CHO,aldehyde
37,75,Formamide,C(=O)N,23.31176292093753,5274.025103801002,-44.106,391,466,1,"[1, 6, 7, 8]",4,True,CHON,amide
38,78,Oxirane,C1CO1,21.452862949512507,2491.367137013349,-32.638,223,284,2,"[1, 6, 8]",3,True,CHO,ester
39,81,2-Methylpropane,CC(C)C,20.72952886839936,2181.7914790155783,-24.28,188,278,4,"[1, 6]",2,True,CH,alkane
40,84,Isopropyl amine,CC(C)N,21.858463313643405,2712.095246612851,-41.114,213,243,3,"[1, 6, 7]",3,True,CHN,amine
41,93,Trimethyl amine,CN(C)C,20.78472183307842,2242.6211720022948,-33.777,193,276,3,"[1, 6, 7]",3,True,CHN,amine
42,96,Propylene oxide,CC1CO1,20.951705304022354,2455.43759922227,-46.846,199,307,3,"[1, 6, 8]",3,True,CHO,ester
43,97,tert-Butyl amine,CC(C)(C)N,20.478201705499057,2269.6949675257188,-63.629,292,348,4,"[1, 6, 7]",3,True,CHN,amine
44,98,2-Methyl-2-propanol,CC(C)(C)O,21.747547789713884,2658.288438159766,-95.5,283,374,4,"[1, 6, 8]",3,True,CHO,alcohol
45,108,"2,2-Dimethyl-1-propanol",CC(C)(C)CO,23.026311446959056,3694.9582987275458,-64.95,333,406,5,"[1, 6, 8]",3,True,CHO,alcohol
46,109,2-Methyl-2-butanol,CCC(C)(C)O,19.90400606085913,1988.051969291059,-137.85,299,396,5,"[1, 6, 8]",3,True,CHO,alcohol
47,110,Acetone cyanohydrine,CC(C)(C#N)O,44.11522779667292,12812.38936220142,0.0,353,387,4,"[1, 6, 7, 8]",4,True,CHON,alcohol
48,114,tert-Butyl hydroperoxide,CC(C)(C)OO,26.91217707574674,6103.409346542179,8.37,273,388,4,"[1, 6, 8]",3,True,CHO,ester
49,116,"3,3-Dimethyl-2-buta",CC(=O)C(C)(C)C,23.65906183051382,4770.956312683663,13.85,283,403,6,"[1, 6, 8]",3,True,CHO,ketone
