,Column1,Name,SMILES,A,B,C,Tmin,Tmax,No.C,Atom,Count Unique Atom,Pass Screen,Atom2,Func. Group
414,711,"1,5-Cyclooctadiene",C1/C=C\CC/C=C\C1,19.37885547869998,2529.852544257651,-104.467,324,386,8,"[1, 6]",2,True,CH,alkene
415,712,10-Undecenoic acid methyl ester,COC(=O)CCCCCCCCC=C,20.669155087261053,3528.09225962336,-135.347,384,523,12,"[1, 6, 8]",3,True,CHO,ester
416,715,Nonane,CCCCCCCCC,20.89264399638705,3311.186441278228,-70.456,315,449,9,"[1, 6]",2,True,CH,alkane
417,717,Octyl amine,CCCCCCCCN,21.724706145591384,3989.9631982568494,-61.303,308,452,8,"[1, 6, 7]",3,True,CHN,amine
418,718,1-Octanol,CCCCCCCCO,20.498188144106244,2935.3354765488098,-145.0,369,450,8,"[1, 6, 8]",3,True,CHO,alcohol
419,720,Diethylene glycol monoethyl ether,CCOCCOCCO,24.145736215769045,5758.12750150735,-19.203,318,475,6,"[1, 6, 8]",3,True,CHO,ester
420,722,Dibutyl amine,CCCCNCCCC,21.604810539799185,3709.879050130147,-64.654,286,432,8,"[1, 6, 7]",3,True,CHN,amine
421,723,Diethylene glycol dimethyl ether,COCCOCCOC,22.719791319379688,4418.202579022068,-38.32,386,433,6,"[1, 6, 8]",3,True,CHO,ester
422,724,Nonanoic acid,CCCCCCCCC(=O)O,21.58282085216109,3918.999828275866,-139.05,419,557,9,"[1, 6, 8]",3,True,CHO,carboxylic_acid
423,725,Heptyl ethanoate,CCCCCCCOC(=O)C,21.105610091638077,3623.8199322794944,-87.152,363,478,9,"[1, 6, 8]",3,True,CHO,ester
424,726,Ethylene glycol monobutyl ether acetate,CCCCOCCOC(=O)C,22.75389260460693,4673.356638346924,-48.09,293,464,8,"[1, 6, 8]",3,True,CHO,ester
425,727,2-Undeca,CCCCCCCCCC(=O)C,21.216019046847137,4004.655993735245,-93.15,385,537,11,"[1, 6, 8]",3,True,CHO,ketone
426,728,Acetic acid octyl ester,CCCCCCCCOC(=O)C,24.86280726542925,6252.2093030067335,-10.258,334,417,10,"[1, 6, 8]",3,True,CHO,ester
427,729,Diethylene glycol monomethyl ether acetate,CC(=O)OCCOCCOC,23.765924804679678,5879.160584335488,-9.537,293,490,7,"[1, 6, 8]",3,True,CHO,ester
428,730,Decyl acetate,CCCCCCCCCCOC(=O)C,21.169944319136327,4014.453493305934,-105.389,430,529,12,"[1, 6, 8]",3,True,CHO,ester
429,731,Triethylene tetramine,C(CNCCNCCN)N,22.985003070390743,6400.871104365707,0.0,431,493,6,"[1, 6, 7]",3,True,CHN,amine
430,732,Ethylene glycol monohexyl ether,CCCCCCOCCO,23.66456500888608,5321.36625331296,-42.153,365,481,8,"[1, 6, 8]",3,True,CHO,ester
431,733,"3,6-Dioxaoctane-1,8-diol",C(COCCOCCO)O,24.192133305392872,6471.677898560368,-48.247,457,557,6,"[1, 6, 8]",3,True,CHO,ester
432,735,1-Decanol,CCCCCCCCCCO,20.37569061715896,3152.238992308849,-148.07,400,480,10,"[1, 6, 8]",3,True,CHO,alcohol
433,736,Decanal,CCCCCCCCCC=O,23.995032021432586,5634.26454159992,-29.76,324,482,10,"[1, 6, 8]",3,True,CHO,aldehyde
434,737,Diethylene glycol monobutyl ether,CCCCOCCOCCO,19.99691536936144,3101.98967782444,-138.085,343,504,8,"[1, 6, 8]",3,True,CHO,ester
435,738,Undecanoic acid,CCCCCCCCCCC(=O)O,21.115856595301896,3794.660233254188,-161.65,442,587,11,"[1, 6, 8]",3,True,CHO,carboxylic_acid
436,739,10-Undecenoic acid,C=CCCCCCCCCC(=O)O,26.48352783483497,7878.875147122562,-21.839,387,548,11,"[1, 6, 8]",3,True,CHO,carboxylic_acid
437,741,Dodecane,CCCCCCCCCCCC,21.00613841562073,3774.5586653923497,-91.315,367,520,12,"[1, 6]",2,True,CH,alkane
438,742,1-Dodecene,CCCCCCCCCCC=C,20.95575785378602,3732.7437201035777,-90.7,365,508,12,"[1, 6]",2,True,CH,alkene
439,743,1-Undecanol,CCCCCCCCCCCO,23.2422939286819,4846.964646603397,-97.01,293,343,11,"[1, 6, 8]",3,True,CHO,alcohol
440,744,Undecanal,CCCCCCCCCCC=O,26.039543377203856,7021.804621223226,-4.741,288,333,11,"[1, 6, 8]",3,True,CHO,aldehyde
441,745,Ethylene glycol dibutyl ether,CCCCOCCOCCCC,19.90442052617587,2963.6411550969856,-123.009,293,476,10,"[1, 6, 8]",3,True,CHO,ester
442,748,1-Dodecanol,CCCCCCCCCCCCO,20.156599645560576,3242.0398109356165,-157.15,410,560,12,"[1, 6, 8]",3,True,CHO,alcohol
443,751,Tetraethylene pentamine,C(CNCCNCCNCCN)N,19.84895125128564,3716.646347718456,-173.233,467,558,8,"[1, 6, 7]",3,True,CHN,amine
444,752,Dihexyl ether,CCCCCCOCCCCCC,22.94714857146192,5269.811373080824,-38.693,293,499,12,"[1, 6, 8]",3,True,CHO,ester
445,753,Diethylene glycol monohexyl ether,CCCCCCOCCOCCO,24.718366102545733,6633.365423790409,-28.535,407,533,10,"[1, 6, 8]",3,True,CHO,ester
446,754,Tetraethylene glycol,C(COCCOCCOCCO)O,30.5276271112132,11280.166348259832,12.922,427,581,8,"[1, 6, 8]",3,True,CHO,ester
447,773,Propene,CC=C,20.62209024796025,1818.1764514703304,-25.57,163,238,3,"[1, 6]",2,True,CH,alkene
448,774,Dimethyl ether,COC,21.739534793590263,2361.439167970974,-17.1,184,265,2,"[1, 6, 8]",3,True,CHO,ester
449,775,2-Methylpropene,CC(=C)C,20.284761531836622,1994.6143368060923,-38.51,194,288,4,"[1, 6]",2,True,CH,alkene
450,776,2-Methyl-3-buten-2-ol,CC(C)(C=C)O,23.012426858848304,3605.8551633839543,-54.11,289,372,5,"[1, 6, 8]",3,True,CHO,alcohol
451,777,2-Methyl-3-butyne-2-ol,CC(C)(C#C)O,20.50131965983272,2375.3652026134014,-112.872,294,380,5,"[1, 6, 8]",3,True,CHO,alcohol
452,779,3-Hydroxy-3-methyl-2-buta,CC(=O)C(C)(C)O,22.10730368464327,4016.38075702877,-36.73,317,419,5,"[1, 6, 8]",3,True,CHO,ketone
453,782,Linalyl acetate,CC(=CCCC(C)(C=C)OC(=O)C)C,22.43859962782326,4768.312944996906,-56.626,328,493,12,"[1, 6, 8]",3,True,CHO,ester
454,784,"3,3,5-Trimethyl-cyclohexanol",CC1CC(CC(C1)(C)C)O,20.96006368790992,3325.4509559293256,-117.677,343,473,9,"[1, 6, 8]",3,True,CHO,alcohol
455,785,Methyl isopropenyl ether,CC(=C)OC,20.4810799368653,2287.569935602632,-53.401,281,310,4,"[1, 6, 8]",3,True,CHO,ester
456,788,2-Methylbutanoic acid,CCC(C)C(=O)O,22.68644988723313,4080.4110432947487,-83.15,353,454,5,"[1, 6, 8]",3,True,CHO,carboxylic_acid
457,791,(1-Methylbutyl)-malonic acid diethyl ester,CCCC(C)C(C(=O)OCC)C(=O)OCC,20.17165855206876,3092.233624785424,-158.382,395,516,12,"[1, 6, 8]",3,True,CHO,ester
458,796,Ethyl salicylate,CCOC(=O)C1=CC=CC=C1O,22.98633856974468,5332.388728153122,-39.595,334,504,9,"[1, 6, 8]",3,True,CHO,ester
459,801,"2-Hydroxybenzoic acid, methyl ester",COC(=O)C1=CC=CC=C1O,21.24510069657165,4032.496550094636,-81.032,327,496,8,"[1, 6, 8]",3,True,CHO,ester
460,802,Ethyl 2-phenylbutanoate,CCC(C1=CC=CC=C1)C(=O)OCC,9.44757571410736,99.99666541854542,-559.881,297,512,12,"[1, 6, 8]",3,True,CHO,ester
461,804,Isoquinoline,C1=CC=C2C=NC=CC2=C1,21.18419732086196,4224.95582250745,-78.901,434,566,9,"[1, 6, 7]",3,True,CHN,aromatic
462,807,Isobutyl benzoate,CC(C)COC(=O)C1=CC=CC=C1,23.056222027317048,5435.758680732904,-38.94,337,510,11,"[1, 6, 8]",3,True,CHO,ester
463,810,"3,4-Methylene-dioxybenzaldehyde",C1OC2=C(O1)C=C(C=C2)C=O,25.486992032438074,7172.75749474973,-16.42,313,463,8,"[1, 6, 8]",3,True,CHO,ester
464,811,Dimethyl terephthalate,COC(=O)C1=CC=C(C=C1)C(=O)OC,23.29755597091376,6028.167773458412,-43.0,413,523,10,"[1, 6, 8]",3,True,CHO,ester
465,812,"1,2-Benzenediol",C1=CC=C(C(=C1)O)O,23.67821933848753,5858.356728020287,-36.084,377,518,6,"[1, 6, 8]",3,True,CHO,alcohol
466,815,Cyclopenta,C1CCC(=O)C1,21.253919597477815,3390.5312209977096,-55.125,317,397,5,"[1, 6, 8]",3,True,CHO,ketone
467,816,n-Methylpyrrolidine,CN1CCCC1,21.91823842265753,3392.852226771448,-24.639,273,315,5,"[1, 6, 7]",3,True,CHN,amine
468,817,"2-(1,1-Dimethylethyl)-4-methoxyphenol",CC(C)(C)C1=C(C=CC(=C1)OC)O,23.11311890496493,6547.40071192857,0.0,403,463,11,"[1, 6, 8]",3,True,CHO,ester
469,819,3-Ethoxy-4-hydroxy benzaldehyde,CCOC1=C(C=CC(=C1)C=O)O,26.48642909205214,8453.206644282975,0.0,393,417,9,"[1, 6, 8]",3,True,CHO,ester
470,820,4-Hydroxy-3-methoxy benzaldehyde,COC1=C(C=CC(=C1)C=O)O,25.350264529616087,7593.110521571444,-8.877,380,558,8,"[1, 6, 8]",3,True,CHO,ester
471,822,Triethylamine,CCN(CC)CC,18.922989681989016,1920.0105797930853,-102.438,306,360,6,"[1, 6, 7]",3,True,CHN,amine
472,824,"Bicyclo[2.2.1]hepta-2,5-diene,(Norbornadiene)",C1C2C=CC1C=C2,20.583567999354464,2849.3914879528065,-49.936,300,352,7,"[1, 6]",2,True,CH,alkene
473,825,"N,N-Dimethyl-aniline",CN(C)C1=CC=CC=C1,21.562143638026004,4001.867563187629,-67.436,363,760,8,"[1, 6, 7]",3,True,CHN,amine
474,828,4-Methoxybenzoic acid methyl ester,COC1=CC=C(C=C1)C(=O)OC,22.381127103902124,5054.524272056066,-67.623,381,471,9,"[1, 6, 8]",3,True,CHO,ester
475,829,p-Acetyltoluene,CC1=CC=C(C=C1)C(=O)C,26.45110743672561,6859.907560749721,-6.824,288,333,9,"[1, 6, 8]",3,True,CHO,ketone
476,831,4-Isopropyl-benzaldehyde,CC(C)C1=CC=C(C=C1)C=O,23.13681250557184,5557.602273513777,-26.464,331,505,10,"[1, 6, 8]",3,True,CHO,aldehyde
477,832,Diphenylamine,C1=CC=C(C=C1)NC2=CC=CC=C2,23.26957956203388,6302.032639248938,-38.555,381,576,12,"[1, 6, 7]",3,True,CHN,amine
478,833,3-Acetoxytoluene,CC1=CC(=CC=C1)OC(=O)C,28.032292620084625,7691.101635373991,7.586,273,323,9,"[1, 6, 8]",3,True,CHO,ester
479,834,Ethyl orthoformate,CCOC(OCC)OCC,22.929464717947727,4374.750495732178,-35.58,278,419,7,"[1, 6, 8]",3,True,CHO,ester
480,835,4-Phenyl-3-buten-2-one,CC(=O)/C=C/C1=CC=CC=C1,23.298477004950957,5863.20366964104,-36.284,355,534,10,"[1, 6, 8]",3,True,CHO,ketone
481,836,Benzyl propanoate,CCC(=O)OCC1=CC=CC=C1,25.984810929543382,7102.7174613910365,0.0,298,378,10,"[1, 6, 8]",3,True,CHO,ester
482,837,3-Acetoxy-1-phenylpropane,CC(=O)OCCCC1=CC=CC=C1,31.00661086225782,8931.727575723904,0.0,293,333,11,"[1, 6, 8]",3,True,CHO,ester
483,838,Phenylacetaldehyde,C1=CC=C(C=C1)CC=O,27.484392497206688,7518.43998959074,21.385,288,333,8,"[1, 6, 8]",3,True,CHO,aldehyde
484,839,Phenyl acetate,CC(=O)OC1=CC=CC=C1,23.048715599913887,4976.2824305961285,-37.065,311,469,8,"[1, 6, 8]",3,True,CHO,ester
485,840,3-Phenyl-1-propanol,C1=CC=C(C=C1)CCCO,24.136111410080325,5877.3645679629535,-42.345,348,508,9,"[1, 6, 8]",3,True,CHO,alcohol
486,841,2-Anilinoethanol,C1=CC=C(C=C1)NCCO,23.53621891580259,5859.641570502178,-64.75,377,553,8,"[1, 6, 7, 8]",4,True,CHON,alcohol
487,842,2-Phenoxy ethanol,C1=CC=C(C=C1)OCCO,23.495117771892644,5595.680123196619,-50.46,351,518,8,"[1, 6, 8]",3,True,CHO,ester
488,846,4-Ethylphenol,CCC1=CC=C(C=C1)O,21.043831733593045,3569.711485179228,-116.086,445,502,8,"[1, 6, 8]",3,True,CHO,alcohol
489,847,4-Hydroxy-benzaldehyde,C1=CC(=CC=C1C=O)O,23.78650991541104,6587.6130579926175,-45.582,394,583,7,"[1, 6, 8]",3,True,CHO,aldehyde
490,848,4-Methoxy benzaldehyde,COC1=CC=C(C=C1)C=O,22.85670302900912,5403.692880727868,-45.117,347,522,8,"[1, 6, 8]",3,True,CHO,ester
491,849,4-Hepta,CCCC(=O)CCC,25.70113244608652,5398.75613828849,-36.06,296,417,7,"[1, 6, 8]",3,True,CHO,ketone
492,850,Vinyl butanoate,CCCC(=O)OC=C,23.69597226955452,4722.650380017742,0.0,1,390,6,"[1, 6, 8]",3,True,CHO,ester
493,851,Diethyl succinate,CCOC(=O)CCC(=O)OCC,21.416090665577396,3829.988796335996,-101.346,357,488,8,"[1, 6, 8]",3,True,CHO,ester
494,852,4-Aminophenol,C1=CC(=CC=C1N)O,20.55001933454954,3162.3841822285804,-206.235,418,458,6,"[1, 6, 7, 8]",4,True,CHON,alcohol
495,853,"1,4-Benzenediol",C1=CC(=CC=C1O)O,24.972548470961343,6991.426616091356,-39.017,432,560,6,"[1, 6, 8]",3,True,CHO,alcohol
496,854,Glycerol-1-allyl ether,C=CCOCC(CO)O,21.83797030631576,4287.88777568407,-104.561,323,383,6,"[1, 6, 8]",3,True,CHO,ester
497,855,"7-Methyl-3-methylene-1,6-octadiene",CC(=CCCC(=C)C=C)C,22.27442531069278,4416.164791214768,-33.537,287,444,10,"[1, 6]",2,True,CH,alkene
498,856,Propanal,CCC=O,21.12437616014597,2659.025265389524,-44.15,241,342,3,"[1, 6, 8]",3,True,CHO,aldehyde
499,857,N-Methylformamide,CNC=O,22.156141514465677,4258.400870983189,-72.061,369,472,2,"[1, 6, 7, 8]",4,True,CHON,amide
500,858,4-Hydroxy-4-methyl-2-penta,CC(=O)CC(C)(C)O,22.97224674897556,4564.812777063185,-42.633,295,441,6,"[1, 6, 8]",3,True,CHO,ketone
501,859,"2,2,4-Trimethyl-1-pentanol",CC(C)CC(C)(C)CO,21.19089784348257,3276.8088458398265,-102.35,343,456,8,"[1, 6, 8]",3,True,CHO,alcohol
502,860,3-Methyl-1-butanol,CC(C)CCO,20.904041792597376,2597.753476064953,-126.68,322,425,5,"[1, 6, 8]",3,True,CHO,alcohol
503,861,"2,4-Pentandione",CC(=O)CC(=O)C,22.36316694017677,4909.53739650551,40.581,428,596,5,"[1, 6, 8]",3,True,CHO,ketone
504,862,Succinimide,C1CC(=O)NC1=O,25.641656673134484,7832.634633285056,-5.85,416,561,4,"[1, 6, 7, 8]",4,True,CHON,amide
505,863,Ethyl hexanoate,CCCCCC(=O)OCC,22.018999546326956,4034.283356126799,-55.08,300,440,8,"[1, 6, 8]",3,True,CHO,ester
506,864,Butanal,CCCC=O,21.05967351903284,2839.0874196616587,-50.15,261,371,4,"[1, 6, 8]",3,True,CHO,aldehyde
507,865,trans-2-Butenal,C/C=C/C=O,24.953206756180197,5788.480178203197,55.918,288,376,4,"[1, 6, 8]",3,True,CHO,aldehyde
508,866,Pyrrolidine,C1CCNC1,20.775741751215747,2681.942894820094,-69.724,313,395,4,"[1, 6, 7]",3,True,CHN,amine
509,867,4-Oxopentanoic acid,CC(=O)CCC(=O)O,26.911808662131858,7365.117756003545,-40.635,375,519,5,"[1, 6, 8]",3,True,CHO,carboxylic_acid
510,868,Butyl ethanoate,CCCCOC(=O)C,21.87455838344344,3676.537617983593,-43.85,301,385,6,"[1, 6, 8]",3,True,CHO,ester
511,869,"1,4-Dioxane",C1COCCO1,22.093741458445532,3840.117868160076,-8.669,427,583,4,"[1, 6, 8]",3,True,CHO,ester
512,870,Isopentyl acetate,CC(C)CCOC(=O)C,21.334602179136333,3441.9249202733367,-64.067,273,415,7,"[1, 6, 8]",3,True,CHO,ester
513,872,Nonanedioic acid,C(CCCC(=O)O)CCCC(=O)O,25.55063548440843,7810.267321691712,-73.354,451,630,9,"[1, 6, 8]",3,True,CHO,carboxylic_acid
514,873,Hexanoic acid,CCCCCC(=O)O,24.28932542216815,6626.69022960582,-91.163,432,611,6,"[1, 6, 8]",3,True,CHO,carboxylic_acid
515,875,Octanoic acid,CCCCCCCC(=O)O,21.777089956457,6218.573139968275,-130.0,417,514,8,"[1, 6, 8]",3,True,CHO,carboxylic_acid
516,876,"1,6-Diaminohexane",C(CCCN)CCN,22.94721764901471,5043.0044388358165,-31.035,394,564,6,"[1, 6, 7]",3,True,CHN,amine
517,878,1-ne,CCCCCCCC=C,20.90563057631154,3306.9727105580487,-67.46,312,438,9,"[1, 6]",2,True,CH,alkene
518,880,Octanal,CCCCCCCC=O,23.30008881451605,5225.947127059287,0.0,293,438,8,"[1, 6, 8]",3,True,CHO,aldehyde
519,881,Diethylene glycol monobutyl ether acetate,CCCCOCCOCCOC(=O)C,26.55580598090405,8585.494763045668,51.821,293,519,10,"[1, 6, 8]",3,True,CHO,ester
520,882,Decane,CCCCCCCCCC,20.881061993369293,3442.756153491908,-79.292,338,468,10,"[1, 6]",2,True,CH,alkane
521,883,Nonanal,CCCCCCCCC=O,23.726803883949707,5314.159161971888,-22.65,306,458,9,"[1, 6, 8]",3,True,CHO,aldehyde
522,884,Dodecylamine,CCCCCCCCCCCCN,24.594003481673123,6415.01588459197,-30.332,355,522,12,"[1, 6, 7]",3,True,CHN,amine
523,888,Dimethyl amine,CNC,21.44107371383637,2306.8494805862706,-47.342,201,280,2,"[1, 6, 7]",3,True,CHN,amine
524,891,Isobornyl acetate,CC(=O)O[C@H]1C[C@@H]2CC[C@]1(C2(C)C)C,17.572937990264748,1868.619183102551,-198.026,405,450,12,"[1, 6, 8]",3,True,CHO,ester
525,892,"2,2-Dimethyl-1,3-propanediol",CC(C)(CO)CO,27.91746270149701,7753.775699020196,0.0,402,437,5,"[1, 6, 8]",3,True,CHO,alcohol
526,898,"2,2-Diethoxy-propane",CCOC(C)(C)OCC,11.63183095917244,246.2016084832954,214.382,288,301,7,"[1, 6, 8]",3,True,CHO,ester
527,899,Methacrylonitrile,CC(=C)C#N,20.93211030488097,2917.154264654529,-53.27,273,373,4,"[1, 6, 7]",3,True,CHN,alkene
528,902,Pyruvic acid,CC(=O)C(=O)O,23.1798478209599,4620.984340406775,-41.847,295,439,3,"[1, 6, 8]",3,True,CHO,carboxylic_acid
529,904,"N,N-Dimethyl-acetamide",CC(=O)N(C)C,27.27596249458887,7538.203077443908,61.34,303,363,4,"[1, 6, 7, 8]",4,True,CHON,amide
530,908,Dimethyl phthalate,COC(=O)C1=CC=CC=C1C(=O)OC,16.765559553257315,1345.073502753216,-294.004,495,523,10,"[1, 6, 8]",3,True,CHO,ester
531,918,"Dibenzo[b,d]furan",C1=CC=C2C(=C1)C3=CC=CC=C3O2,21.26626145357627,4635.140633558503,-82.401,433,603,12,"[1, 6, 8]",3,True,CHO,aromatic
532,920,Anthranilic acid methyl ester,COC(=O)C1=CC=CC=C1N,22.239126681217183,5295.812163950912,-45.448,350,540,8,"[1, 6, 7, 8]",4,True,CHON,ester
533,921,1-Naphthylamine,C1=CC=C2C(=C1)C=CC=C2N,23.05882394847213,6202.238601318576,-36.052,377,574,10,"[1, 6, 7]",3,True,CHN,amine
534,922,"N,N-Diethyl-m-toluamide",CCN(CC)C(=O)C1=CC=CC(=C1)C,17.006617186642863,3873.153056489261,0.0,298,404,12,"[1, 6, 7, 8]",4,True,CHON,amide
535,924,"1,2-Diethylbenzene",CCC1=CC=CC=C1CC,21.004503580204705,3645.9132362467726,-71.91,344,486,10,"[1, 6]",2,True,CH,aromatic
536,925,2-Naphthol,C1=CC=C2C=C(C=CC2=C1)O,24.109700759063685,7020.395439146313,-2.241,417,561,10,"[1, 6, 8]",3,True,CHO,alcohol
537,927,Butyl benzoate,CCCCOC(=O)C1=CC=CC=C1,19.658112998778297,3103.16629880696,-142.92,374,475,11,"[1, 6, 8]",3,True,CHO,ester
538,929,2-Methyl-1-butanol,CCC(C)CO,21.16582269181987,2752.1878582520635,-116.32,320,423,5,"[1, 6, 8]",3,True,CHO,alcohol
539,931,(E)-Cinnamic acid,C1=CC=C(C=C1)/C=C/C(=O)O,26.4477917141917,8418.122155221025,-8.93,431,573,9,"[1, 6, 8]",3,True,CHO,carboxylic_acid
540,932,Benzyl acetate,CC(=O)OCC1=CC=CC=C1,21.189654447532355,3863.30720263162,-89.669,319,489,9,"[1, 6, 8]",3,True,CHO,ester
541,934,Phenyl acetonitrile,C1=CC=C(C=C1)CC#N,22.69225240166748,5201.74695773192,-40.895,333,506,8,"[1, 6, 7]",3,True,CHN,aromatic
542,935,1-(2-Aminoethyl) piperazine,C1CN(CCN1)CCN,24.844386584685296,6501.480257418989,0.0,435,488,6,"[1, 6, 7]",3,True,CHN,amine
543,936,4-Tolyl acetate,CC1=CC=C(C=C1)OC(=O)C,25.948337981670363,7018.627053794894,8.512,373,478,9,"[1, 6, 8]",3,True,CHO,ester
544,938,4-Allylanisol,COC1=CC=C(C=C1)CC=C,23.104461185015275,5168.21671360774,-41.916,325,488,10,"[1, 6, 8]",3,True,CHO,ester
545,939,Ethyl acrylate,CCOC(=O)C=C,22.817559082428215,3943.957548098828,-23.216,243,393,5,"[1, 6, 8]",3,True,CHO,ester
546,940,Dibutyl succinate,CCCCOC(=O)CCC(=O)OCCCC,27.150333451915117,8358.197378175853,1.193,398,475,12,"[1, 6, 8]",3,True,CHO,ester
547,941,Diethyl malate,CCOC(=O)CC(C(=O)OCC)O,23.03830791529356,5295.321713326104,-38.605,330,498,8,"[1, 6, 8]",3,True,CHO,ester
548,942,"3,7-Dimethyl-2,6-octadienal",CC(=CCC/C(=C/C=O)/C)C,23.28940481968456,5443.826938898756,-38.879,334,501,10,"[1, 6, 8]",3,True,CHO,aldehyde
549,943,Diethyl adipate,CCOC(=O)CCCCC(=O)OCC,33.459485684271584,15620.198465959846,199.514,347,513,10,"[1, 6, 8]",3,True,CHO,ester
550,944,Butyl acrylate,CCCCOC(=O)C=C,21.681141235631934,3802.521258761669,-46.14,273,420,7,"[1, 6, 8]",3,True,CHO,ester
551,945,2-Aminoethanol,C(CO)N,22.062679585541048,3632.7194236639166,-99.782,339,444,2,"[1, 6, 7, 8]",4,True,CHON,alcohol
552,947,4-Methoxy-4-methyl-2-pentanol,CC(CC(C)(C)OC)O,21.460921997337984,3736.572919113227,-65.589,343,423,7,"[1, 6, 8]",3,True,CHO,ester
553,948,Ethyl ethanoate,CCOC(=O)C,21.15612880857836,2819.9068858370183,-57.44,271,373,4,"[1, 6, 8]",3,True,CHO,ester
554,949,4-Methyl-3-penten-2-one,CC(=CC(=O)C)C,21.175102109744635,3283.391936620697,-62.623,292,409,6,"[1, 6, 8]",3,True,CHO,ketone
556,951,"1,3-Diethylbenzene",CCC1=CC(=CC=C1)CC,21.047515869741837,3646.258624010721,-71.29,342,484,10,"[1, 6]",2,True,CH,aromatic
557,952,Ethyl acetoacetate,CCOC(=O)CC(=O)C,23.19649551118225,4912.166948681709,-33.217,301,460,6,"[1, 6, 8]",3,True,CHO,ester
558,953,Hexyl methacrylate,CCCCCCOC(=O)C(=C)C,24.29072999907488,6067.719277600771,0.0,354,476,10,"[1, 6, 8]",3,True,CHO,ester
559,955,Cyclopentene,C1CC=CC1,20.827296631447883,2581.66301143511,-39.81,195,319,5,"[1, 6]",2,True,CH,alkene
560,956,Tetrahydropyran,C1CCOCC1,20.584028516373063,2680.5475282537395,-65.53,361,487,5,"[1, 6, 8]",3,True,CHO,ester
561,958,Heptane,CCCCCCC,20.76984713337768,2910.2603248861046,-56.718,274,388,7,"[1, 6]",2,True,CH,alkane
562,960,Hexyl acetate,CCCCCCOC(=O)C,21.417794578546207,3679.629989763484,-71.959,304,459,8,"[1, 6, 8]",3,True,CHO,ester
563,961,Dibutyl ether,CCCCOCCCC,20.520362038551777,2975.416575262557,-82.627,362,413,8,"[1, 6, 8]",3,True,CHO,ester
564,962,Dodecanoic acid,CCCCCCCCCCCC(=O)O,20.826421649112547,3712.4579454343,-172.65,453,603,12,"[1, 6, 8]",3,True,CHO,carboxylic_acid
565,963,1-Nonanol,CCCCCCCCCO,20.3388032039692,2988.179804433023,-147.55,385,469,9,"[1, 6, 8]",3,True,CHO,alcohol
566,965,Nonyl acetate,CCCCCCCCCOC(=O)C,24.837294622598872,6648.979253306002,0.0,298,369,11,"[1, 6, 8]",3,True,CHO,ester
567,967,Dihexylamine,CCCCCCNCCCCCC,22.00909843042708,4635.564309215613,-69.15,408,569,12,"[1, 6, 7]",3,True,CHN,amine
568,968,Tetraethylene glycol dimethyl ether,COCCOCCOCCOCCOC,25.230507078929467,7514.67986813388,0.0,419,548,10,"[1, 6, 8]",3,True,CHO,ester
569,970,"2,2,4-Trimethyl-1,3-pentanediol",CC(C)C(C(C)(C)CO)O,20.554992918350408,3151.8728812790628,-152.866,413,502,8,"[1, 6, 8]",3,True,CHO,alcohol
571,974,2-Ethyl hexanoic acid,CCCCC(CC)C(=O)O,27.42701207668928,8402.832990203544,28.409,403,500,8,"[1, 6, 8]",3,True,CHO,carboxylic_acid
572,975,Methyl orthoformate,COC(OC)OC,24.2079981166836,4694.971004614859,0.0,273,358,4,"[1, 6, 8]",3,True,CHO,ester
573,977,3-Methoxyphenol,COC1=CC=CC(=C1)O,20.159961419796343,3075.585934563077,-161.975,399,518,7,"[1, 6, 8]",3,True,CHO,ester
574,979,4-Methoxyphenol,COC1=CC=C(C=C1)O,21.2228346987224,3793.713870780967,-126.791,397,518,7,"[1, 6, 8]",3,True,CHO,ester
575,980,Citronellyl acetate,CC(CCC=C(C)C)CCOC(=O)C,26.063628417276576,6602.513086129382,-35.95,347,490,12,"[1, 6, 8]",3,True,CHO,ester
576,981,"1,3-Dimethoxy-benzene",COC1=CC(=CC=C1)OC,17.272151299566936,1771.1484535310203,-188.95,358,423,8,"[1, 6, 8]",3,True,CHO,ester
577,982,Ethylene imine,C1CN1,22.402679300372547,3133.7354185015483,-40.198,213,318,2,"[1, 6, 7]",3,True,CHN,amine
578,986,Spiro[2.2]pentane,C1CC12CC2,20.81041868271624,2504.086617067048,-42.395,276,344,5,"[1, 6]",2,True,CH,alkane
579,987,Spiro[4.5]decane,C1CCC2(CC1)CCCC2,23.421711359127997,5542.478894622993,8.864,347,390,10,"[1, 6]",2,True,CH,alkane
580,988,Spiro[5.5]undecane,C1CCC2(CC1)CCCCC2,21.627537054667037,3492.904154232225,-169.238,369,413,11,"[1, 6]",2,True,CH,alkane
581,989,Spiro[5.6]dodecane,C1CCCC2(CC1)CCCCC2,35.14504704989602,12057.94735648192,0.0,389,430,12,"[1, 6]",2,True,CH,alkane
582,990,Bicyclo[2.1.0]pentane,C1CC2C1C2,20.674243800316567,2511.2937084081195,-44.597,296,315,5,"[1, 6]",2,True,CH,alkane
583,995,Biphenylene,C1=CC=C2C(=C1)C3=CC=CC=C23,22.477513315894857,5342.621416306389,-51.02,338,408,12,"[1, 6]",2,True,CH,aromatic
584,997,"2,3-Benzofuran",C1=CC=C2C(=C1)C=CO2,18.92881522227429,2531.068309186752,-110.232,326,393,8,"[1, 6, 8]",3,True,CHO,aromatic
585,998,Azulene,C1=CC=C2C=CC=C2C=C1,18.917279270958392,3062.2332436088045,-121.182,373,423,10,"[1, 6]",2,True,CH,aromatic
