,SMILES,VP1,VP2,VP3,VP4,VP5
979,CC1=CC(=CC(=C1O)C)C(C)(C)C,11.522747634654367,,,,
982,CCC(C)(C)C#C,11.522663939980637,,,,
984,CCCC(C)C(C)CC,11.522687207915089,,,,
987,CCC(C)ON=O,11.522647566257373,,,,
992,CC(=CC=C)C,11.522676762677197,,,,
995,CCC#CCC,11.522901913627258,,,,
997,CC[C@H]1CCC[C@H]1C,11.52273932952809,,,,
1000,CCC[C@H]1CCC[C@H]1C,11.522759192353183,,,,
1002,CCC1=CC=CC(=C1C)C,11.522683920706731,,,,
1017,CCC(C)(CC)CC,11.521154744898546,,,,
1022,CC(C)CC(C)C(C)C,11.522818564440112,,,,
1024,CC(C)(C)CC(C)(C)C,11.522723216581873,,,,
1026,CC(C)(C)CCC(C)(C)C,11.522630539824595,,,,
1029,C1=CC=C(C=C1)C(=O)C=O,11.52274553487184,,,,
1034,CC(C=C)C=C,11.522744997234579,,,,
1036,C(CO)N(CCO)N=O,11.522621035809205,,,,
1038,CCCCNC(=O)C,11.52266558610646,,,,
1041,CCCCCCCCCCC,11.522616068667752,,,,
1043,CC1COCOC1C,11.522586901431321,,,,
1046,C1CCCNCCC1,11.521107406475478,,,,
1047,CC1=CC2=CC=CC=C2C=N1,11.522866413200145,,,,
1048,CCCCNC1=CC=CC=C1,11.52277163558561,,,,
1049,CCCCOC1=CC=CC=C1,11.522656592533375,,,,
1051,CCC(C)(C)CO,11.522600678602872,,,,
1052,CC(C)C(C)C(C)(C)C,11.522763070072468,,,,
1054,CCC(C)(C)CCC(C)C,11.522604838771425,,,,
1065,C[C@@]12CC[C@@H](C1(C)C)C[C@H]2OC=O,11.52117387056228,,,,
1067,CCC1=CCCCC1,11.522676762677197,,,,
1069,C1CC[C@H]([C@@H](C1)O)O,11.522710203601854,,,,
1071,CCC1(CCCC1)O,11.52265760530352,,,,
1073,C1CC2=C(C1)C=C(C=C2)O,11.522622990823338,,,,
1074,CCCOCC=C,11.522708328035307,,,,
1077,C1CCCCC(=O)CCCC1,11.522760946519524,,,,
1078,CCCCC(CC)COCCO,11.522611547103773,,,,
1079,CC/C=C\C1=CC=CC=C1,11.522680525006093,,,,
1083,COC(=O)C[C@@H](C(=O)OC)O,11.522664742208585,,,,
1084,COC(=O)CC(CC(=O)OC)(C(=O)OC)O,11.522760946519524,,,,
1086,C1CCC(CC1)C2CCCC2,11.522595398493575,,,,
1089,CCC(=O)C=C,11.522708328035307,,,,
1090,CC1(CC1)C,11.522632692033705,,,,
1092,CCCCCCC(C)CCCC,11.52261643001032,,,,
1094,C1CCC(C1)C2CCCC2,11.522653609196361,,,,
1095,CCCC(CC)C(CC)CCC,11.52263172770148,,,,
1096,CCCCC(C)C(C)CCCC,11.52275099167691,,,,
1097,CCCCCCC(CC)CCC,11.522754806998206,,,,
1113,CCCCCCC1OCCO1,11.522687207915089,,,,
1115,CCCCCCCCC(=O)OC,11.522654721076655,,,,
1117,C=CCOC1=CC=CC=C1,11.522550270658943,,,,
1122,C1CC[C@@H]([C@@H](C1)O)O,11.522938756570326,,,,
1123,CC1CC(CC(C1)C)C,11.52271255099295,,,,
1124,C1=CC=C(C(=C1)C2=CC=CC=C2O)O,11.52277344684222,,,,
1125,C=CCOC=O,11.522810517743324,,,,
