,Method,Training Predict,Training Actual
135,DT,11.301498621680214,11.089078749778666
136,DT,11.49960365020215,11.366718016644132
137,DT,11.49960365020215,11.632489283760167
138,DT,7.5896833527191765,7.6080574876092
139,DT,9.157899604250044,9.159536584690477
140,DT,10.388946651639946,10.388946651639946
141,DT,11.356194621622548,11.387144011672456
142,DT,12.205501119445405,12.213747991766539
143,DT,7.599375675921097,7.599375675921097
144,DT,8.571653976377146,8.591097100445298
145,DT,9.543360801174448,9.451087443629003
146,DT,9.703478442605473,10.203958976182184
147,DT,11.218137437066629,10.868552116390354
148,DT,4.940283797356583,5.090984844424627
149,DT,6.3181637006584435,6.514514318119307
150,DT,7.699670796673383,7.699670796673383
151,DT,8.870861145741491,8.701702639996268
152,DT,9.560009243000728,9.560009243000728
153,DT,2.6124104575974094,2.570589463458947
154,DT,6.016928658361559,5.986512507422702
155,DT,8.663812876888347,8.38521657519047
156,DT,10.162188684800652,10.162188684800652
157,DT,11.528430583868165,11.531420699045842
158,DT,11.52273276365755,11.52273276365755
159,DT,7.60728385595659,7.60728385595659
160,DT,9.163710744230798,9.163710744230798
161,DT,10.360777745487919,10.391597204741615
162,DT,11.385037787197742,11.385037787197742
163,DT,12.162443054737492,12.20532661729153
164,DT,11.522461086025059,11.522461086025059
165,DT,7.3591898275619165,7.320801193951411
166,DT,8.626854818396257,8.602076569060163
167,DT,9.514932425768142,9.699882935057099
168,DT,9.913383438978235,10.650994474491466
169,DT,11.482972946358078,11.482972946358078
170,DT,5.933373570860317,6.495524880581625
171,DT,7.503871303682169,8.24609730922337
172,DT,9.686914387197483,9.638580831428529
173,DT,10.432026233604091,10.772654041003774
174,DT,11.71414106868237,11.71414106868237
175,DT,7.183255668911784,7.183255668911784
176,DT,8.531136950175418,8.53509118022818
177,DT,9.552009815976433,9.68696704659753
178,DT,10.66211475397248,10.680194162053757
179,DT,11.562269797897118,11.545437026137122
180,DT,7.586141251511315,7.590708143075142
181,DT,9.095208068586286,9.121639159227593
182,DT,10.13327600428071,10.35361787955471
183,DT,11.379655211527089,11.366421822050734
184,DT,11.868339159757896,12.213761627107916
185,DT,7.920898305623834,7.580531039247241
186,DT,8.920766223391341,8.914969255260589
187,DT,10.045580004465611,10.02778461707947
188,DT,10.954378183372345,10.96995450055252
189,DT,11.777935319914173,11.777935319914173
190,DT,8.438360915913204,8.35890509424688
191,DT,8.087922639002407,8.850395405006083
192,DT,9.258041365731398,9.307530178874524
193,DT,9.616643467548641,9.73378998490098
194,DT,9.607632582397935,10.132200594140134
195,DT,7.1383569536786915,7.162727901193129
196,DT,8.542202694567228,8.568205929299868
197,DT,9.763634409638794,9.723618922025679
198,DT,10.708506211216285,10.690252822899451
199,DT,11.507177530620487,11.51087944316937
200,DT,9.195400910808567,9.22136487743992
201,DT,9.928883615966852,9.928883615966852
202,DT,10.645478334257803,10.570726301321942
203,DT,11.289480630960462,11.15563198506145
204,DT,11.690855108599813,11.690855108599813
205,DT,8.001559967748996,7.980147473606712
206,DT,10.010290770885518,10.010290770885518
207,DT,11.532974920364207,11.532974920364207
208,DT,12.717330255391698,12.717330255391698
209,DT,13.526695266483923,13.664843152719346
210,DT,4.843897098461483,4.843897098461483
211,DT,7.174352661298792,7.043502228540046
212,DT,8.82018360772513,8.82018360772513
213,DT,10.461551177483184,10.28521842076104
214,DT,12.02369844128232,11.513993483593927
215,DT,7.6054211715319004,7.606131960117919
216,DT,9.165565403862304,9.165565403862304
217,DT,10.39567414596775,10.39567414596775
218,DT,11.390816132887874,11.390816132887874
219,DT,12.211707557234096,12.212444724918397
220,DT,6.470397764013084,6.470397764013084
221,DT,7.984655873199587,7.984655873199587
222,DT,9.162301259386542,9.20944084409036
223,DT,10.054775337444207,10.220516660942637
224,DT,11.069329230336244,11.069329230336244
225,DT,4.814143532330074,4.804077775099945
226,DT,7.198990132721091,7.202516963957127
227,DT,8.940563583214056,9.00911583383008
228,DT,10.371413725618654,10.41887897647266
229,DT,11.534899762577004,11.549619818408614
230,DT,4.8664666763085975,4.8664666763085975
231,DT,7.146612593337853,7.152938912380328
232,DT,8.930117581628718,8.930975225286137
233,DT,10.343904783620037,10.353195809454416
234,DT,11.523077757361609,11.516693031544703
235,DT,11.532723700131466,11.53193270735621
236,DT,11.522742546363947,11.52274553487184
237,DT,7.572576808902893,7.572576808902893
238,DT,9.137326600413319,9.137601151448923
239,DT,10.371182585035983,10.371967303933715
240,DT,11.369400142497017,11.370454896010012
241,DT,12.193462899185038,12.19477930711293
242,DT,7.5806263544494366,7.580183292942104
243,DT,9.160865166266074,9.15662572072392
244,DT,10.391026764548803,10.391026764548803
245,DT,11.383811126102495,11.383811126102495
246,DT,12.199594600331073,12.199594600331073
247,DT,11.522825863710978,11.522835997154493
248,DT,11.5226662734981,11.522676762677197
249,DT,7.5933596678986435,7.579336766332817
250,DT,9.164521474473538,9.154737305685776
251,DT,10.391858647878859,10.391858647878859
252,DT,11.38581876644275,11.389093039163324
253,DT,12.21004733361265,12.21004733361265
254,DT,7.534594171644767,7.582679696191898
255,DT,9.116125512016428,9.096188035940195
256,DT,10.323962025833323,10.323962025833323
257,DT,11.167040249106298,11.339937906141474
258,DT,12.194568566426883,12.194568566426883
259,DT,7.194538002841755,7.103792321218162
260,DT,8.524986444208688,8.471994183785032
261,DT,9.418590715714114,9.638795757336963
262,DT,10.39519101599074,10.645617854378756
263,DT,11.520095650568212,11.523251633778084
264,DT,11.522680109892047,11.522676960066883
265,DT,7.587823646556648,7.587823646556648
266,DT,9.150679310612873,9.150679310612873
267,DT,10.382658924911588,10.382658924911588
268,DT,11.378780160064032,11.378780160064032
269,DT,12.200857386256489,12.200857386256489
270,DT,7.192156179218038,7.20220028257196
271,DT,8.68091362937519,8.688113970137026
272,DT,9.865754039976027,9.862422031190546
273,DT,10.803863168199284,10.813840818182932
274,DT,11.626426858857231,11.60032816612265
275,DT,8.047758801095332,7.863330071337307
276,DT,8.377212971586292,8.783593414537517
277,DT,9.284195626105435,9.577763058124777
278,DT,10.39519101599074,10.270093232140368
279,DT,10.809870022386479,10.878992541333186
280,DT,7.937205619946709,7.770052186546721
281,DT,8.905640770403494,8.900385175354076
282,DT,9.78332524197613,9.878854548216905
283,DT,10.754623879640341,10.734138781754915
284,DT,11.506900166466732,11.488122983859322
285,DT,11.522825863710978,11.522823414331986
286,DT,4.940283797356583,4.888418934905843
287,DT,7.344634717667789,7.2363877063558775
288,DT,8.970064530639275,9.017607527013084
289,DT,10.412205378424023,10.415181289445577
290,DT,11.541005421555482,11.541005421555482
291,DT,4.878191617603704,4.873591780058259
292,DT,6.908931542901355,6.869995553427881
293,DT,8.60422891960503,8.472677805055389
294,DT,9.782244830407206,9.787656277622649
295,DT,10.917493206983092,10.886020447025059
296,DT,10.14821032123069,10.183268999044582
297,DT,10.55272596000666,10.551234305304737
298,DT,10.894756594900045,10.894710471126848
299,DT,11.213362157216007,11.216063497645399
300,DT,11.525143936626586,11.517364109258699
301,DT,5.635283033099793,4.884166572354115
302,DT,7.388476272385941,7.069126385967639
303,DT,8.693960760219241,8.817230024000933
304,DT,10.127817342810296,10.2475864230708
305,DT,11.43961182225744,11.43961182225744
306,DT,7.662498922808652,4.438456138601211
307,DT,7.662498922808652,6.9840348458883295
308,DT,7.662498922808652,8.880186454164049
309,DT,7.662498922808652,10.347318252581017
310,DT,11.391105415582194,11.51623614921571
311,DT,11.522762008295995,11.522760946519524
312,DT,7.591563857234135,7.588418026643589
313,DT,9.150739848267358,9.150739848267358
314,DT,10.380750354566459,10.381521747725849
315,DT,11.377107917484011,11.376174212838068
316,DT,12.198134535149247,12.196702562530415
317,DT,7.600589910136527,7.596343706531986
318,DT,9.155269626309208,9.155269626309208
319,DT,10.383070754753112,10.383070754753112
320,DT,11.374929916578798,11.375117666242431
321,DT,12.193137520374744,12.193364306326998
322,DT,8.472865307720118,8.472865307720118
323,DT,9.379334296561256,9.379334296561256
324,DT,10.184274056245783,10.184274056245783
325,DT,11.462151802868586,10.903837672608203
326,DT,11.497434556466432,11.550924236934224
327,DT,9.600686989483005,9.600686989483005
328,DT,10.400784033682326,10.400784033682326
329,DT,10.931301408356733,11.092221741490869
330,DT,11.609580468895636,11.695727785417478
331,DT,12.106384901683557,12.227073052659023
332,DT,3.816479116106393,4.19179813647327
333,DT,6.924258901571713,6.961551900607827
334,DT,7.651354481293806,8.940639734559857
335,DT,10.415762712507956,10.425334378999718
336,DT,11.430871578518783,11.580321412295657
337,DT,6.496973434610271,6.47685980165603
338,DT,8.205987814860093,8.192039147732958
339,DT,9.535051987220966,9.544053528865904
340,DT,10.640062918063794,10.637203434798218
341,DT,11.547801082933333,11.53933891392874
342,DT,11.524651766086452,11.519662215977457
343,DT,12.790554341496996,12.790554341496996
344,DT,13.330264839709244,13.330264839709244
345,DT,13.645713773549103,13.81299858471204
346,DT,14.41108701352135,14.247325684306116
347,DT,14.41108701352135,14.64017955331451
348,DT,10.983848632942308,10.859545992439802
349,DT,10.983848632942308,11.108151273444813
350,DT,11.56915470093517,11.34552894057779
351,DT,11.56915470093517,11.572422797033925
352,DT,11.56915470093517,11.789512365193799
353,DT,7.606869629819318,7.606869629819318
354,DT,9.163122127453967,9.163122127453967
355,DT,10.38812042422379,10.388817683925645
356,DT,11.377107917484011,11.379163321386482
357,DT,12.19542600080499,12.196006739766965
