,SMILES,VP1,VP2,VP3,VP4,VP5,Column1,Name,A,B,C,Tmin,Tmax,No.C,Atom,Count Unique Atom,Pass Screen,Atom2
38,C1CO1,7.656989244845786,8.862560233633992,9.886911993402546,10.768048960666212,11.534043089584328,78,Oxirane,21.452862949512507,2491.367137013349,-32.638,223,284,2,"[1, 6, 8]",3,True,CHO
39,CC(C)C,8.359398380975515,9.271941632804168,10.085025780078883,10.81407074338216,11.471465518548632,81,2-Methylpropane,20.72952886839936,2181.7914790155783,-24.28,188,278,4,"[1, 6]",2,True,CH
40,CC(C)N,4.88633990970968,6.949768341633558,8.705831273040648,10.218445357051802,11.534954086371837,84,Isopropyl amine,21.858463313643405,2712.095246612851,-41.114,213,243,3,"[1, 6, 7]",3,True,CHN
41,CC(C)(C)N,7.845951331358018,8.30679489830829,8.730851214831894,9.122356080495566,9.48491903373439,97,tert-Butyl amine,20.478201705499057,2269.6949675257188,-63.629,292,348,4,"[1, 6, 7]",3,True,CHN
42,CC(C)(C)O,7.35524950084165,8.157868134528263,8.881146985282378,9.536296228063875,10.132509133563248,98,2-Methyl-2-propanol,21.747547789713884,2658.288438159766,-95.5,283,374,4,"[1, 6, 8]",3,True,CHO
43,CC(C)(C)CO,4.899526250694599,7.136936843566879,8.901735438125433,10.329363237499484,11.508021146620658,108,"2,2-Dimethyl-1-propanol",23.026311446959056,3694.9582987275458,-64.95,333,406,5,"[1, 6, 8]",3,True,CHO
44,CCC(C)(C)O,4.500188120034235,5.395051219387774,6.146722985601505,6.787026438874479,7.3390051355468255,109,2-Methyl-2-butanol,19.90400606085913,1988.051969291059,-137.85,299,396,5,"[1, 6, 8]",3,True,CHO
45,CC(C)(C#N)O,4.897990780754547,7.2548161918065155,9.028551783504593,10.411765265190446,11.520638286028142,110,Acetone cyanohydrine,44.11522779667292,12812.38936220142,0.0,353,387,4,"[1, 6, 7, 8]",4,True,CHON
46,CC(C)(C)OO,7.578818323999284,8.841058021156806,9.907813794331439,10.821233966934757,11.61216249777821,114,tert-Butyl hydroperoxide,26.91217707574674,6103.409346542179,8.37,273,388,4,"[1, 6, 8]",3,True,CHO
47,CC(=O)C(C)(C)C,7.604047654503679,9.161301989289463,10.389841233670833,11.383809961040546,12.204534883016361,116,"3,3-Dimethyl-2-buta",23.65906183051382,4770.956312683663,13.85,283,403,6,"[1, 6, 8]",3,True,CHO
