"standard_relation","standard_value","standard_type","pchembl_value","assay_chembl_id","target_chembl_id","canonical_smiles","compound_chembl_id"
"=",6.31,"Ki",8.2,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4CCCN5CCCCC5","CHEMBL561398"
"=",2.512,"Ki",8.6,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4CCCCCCCN5CCCCC5","CHEMBL551013"
"=",5.012,"Ki",8.3,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4CCCN5CCC(CNS(=O)(=O)C)CC5","CHEMBL555223"
"=",2.512,"Ki",8.6,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4CCCCCCCN5CCC(CNS(=O)(=O)C)CC5","CHEMBL540981"
"=",50.12,"Ki",7.3,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4C[C@H](O)CN5CCN(CC5)S(=O)(=O)C","CHEMBL541968"
"=",12.59,"Ki",7.9,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4C[C@@H](O)CN5CCN(CC5)S(=O)(=O)C","CHEMBL538635"
"=",19.95,"Ki",7.7,"CHEMBL1051848","CHEMBL1875","CC(C)N1C(=O)C(=Cc2ccccc12)C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4CC(O)CN5CCN(CC5)S(=O)(=O)C","CHEMBL553405"
"=",158.49,"Ki",6.8,"CHEMBL1051848","CHEMBL1875","COc1cc(N)c(Cl)cc1C(=O)N[C@H]2C[C@H]3CC[C@@H](C2)N3","CHEMBL556438"
"=",316.23,"Ki",6.5,"CHEMBL1051848","CHEMBL1875","COc1cc(N)c(Cl)cc1C(=O)NCC2CCNCC2","CHEMBL539652"
"=",1584.89,"Ki",5.8,"CHEMBL1051848","CHEMBL1875","COc1cc(N)c(Cl)cc1C(=O)NC2CCNCC2","CHEMBL541969"
